pizzadaze	Oh no! Not the "bro code"!!! @ETCanada #sarcasm #iggydeservesbetter
frumfollies	#UnionOfDictators promises to meet US AZ voting standards. Extends honorary membership to AZ Gov, legislature & Sctry of State. #sarcasm
streetmapp	i’m so excited for the #antibruins commentary provided by @NHLonNBCSports. #nhlbruins #NHLonNBC #sarcasm
themovieswelove	@MisterCash420 What? Not voting 4 based on gender, age, color, or anything else non-important? #sarcasm http://twitter.com/themovieswelove/status/716676070951366661/photo/1
jrgann_10	2-0 outs with bases loaded. I love them! #sarcasm #STLCards
cwatts78	Don't anger the gods like that! It's very rude! #sarcasm https://twitter.com/brewerfan28/status/716704136037801990
LOLsarcasms	image testing hootsuite #sarcasm #lol http://fb.me/2LovmZmP8
daleca75	@courtgolf i knew it had to be a strong 3w. Nahh no tourball is needed, lettem drive it 400yds #sarcasm
Captincanada	Can totally tell the crowd is loving this US Championship match, when you don't have half the people in the building #WrestleMania #sarcasm
JayBird_Cards	Well, the Cards got their first loss out of the way. No more pressure at least. #STLCards #sarcasm
RubenLRodriguez	@NotDaveMeltzer way to strike while the iron is hot wwe. #WrestleMania #sarcasm
Zbolt007	Gonna try seed peas, it's a month early but oh well #everyoneelseisdoingit #sarcasm http://twitter.com/Zbolt007/status/716780411578232832/photo/1
MattCouchSports	Well at least @MichaelCole hasn't butchered this match.. #sarcasm #WrestleMania @JFlippoSports @IntheZoneShow
summer0001	Doug is so helpful #sarcasm #TheFamily
GrouchyColitis	If u dont plan telling the truth dont c new batman/superman movie,visit gatorworld or wear very tight leggings #diabetes #crohns #sarcasm
amanda_renee143	Loooove sitting at home alone all the time😒 #sarcasm
PD0MV	http://www.telegraaf.nl/binnenland/25528239/__Hackers_leggen_stemvoor.nl_plat__.html #PVV PROPAGANDA WEBSITE HACKED AND OFFLINE #PVV ( stemvoor.nl ) Congratulation Guys !! #sarcasm
NIGANAA70	RT @2AFightR: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5p…
d8ob	i just 'love it' (#sarcasm implied) when others do not #listen which in turn costs money, peace of mind, time...
CommonSense1212	RT @2AFightR: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5p…
IamThat1VT	Shar Pei with bilateral entropions? That neeeever happens... #VetTechProblems #VetTechLife #sarcasm
NoSoup4U19	@markkiszla but Roy is a jerk #sarcasm
dcmarti1992	No need to worry, @texasgop and @govabbott, TX textbooks won't change! Guh-lory to Gawd! #sarcasm https://twitter.com/NicoleBonnet1/status/717028976611299328
clarkkent415	@samesfandiari the Joe Smith led Warriors could beat the current Warriors #softera #sarcasm
marty_kurtz	Well, that's lovely. #sarcasm
GisellaGsba	Yep, purely coincidental #sarcasm https://twitter.com/davidsirota/status/716782698241470464
animelover12785	The coolest dad on the planet w/ @PacManPayen, @Arberi_10, @HH_Chracker #sarcasm... (Vine by @thewebbeffect19) https://vine.co/v/i1pw2iOxawb
brandnewwatch	@Carlos4Waltham But it's so pretty ... #sarcasm
betelgeuse_5	OH is now lecturing me on how @MrJamesMay is assembling it wrong. I'm such a lucky woman. #sarcasm
ernieramirez92	RT @antovolk: Only those that gave BvS a rotten review won’t be embargoed LOL #sarcasm #dontflameme https://twitter.com/FAAPF/status/717113838961823744
Ana_Gauthier	@kelsoliveira101 but he has a sister...so he can't be sexist, obviously. #sarcasm #🙄
AutumnRakoczy	Great news on top of great news. #sarcasm
PeteTuckley	Favourite part of my day atm is knowing that when I go to bed I still won't be sleeping😕#loljoke #sarcasm
zuzi_64	RT @h1llary4prez: Shame on you Tim Robbins. You're supposed to be positive and empowering. #sarcasm http://twitter.com/h1llary4prez/status/717124386080206848/photo/1
WilliamHFindlay	RT @bdach3: if North Carolina loses I can't wait to see all the crying Michael jordan faces #sarcasm
Nana_ml4tune	@DeputyNStuff They can still show Enid in the closet, Čarol at Hilltop💀😠That will really help the ratings. #sarcasm
Witticisms_R_us	Alien coffee mug, enjoy the probing, alien probing, sci fi, geekery… http://tuppu.net/9396b6e8 #WitticismsRus #sarcasm http://twitter.com/Witticisms_R_us/status/717188237815451653/photo/1
TySosina	Kris Jenkins...ain't that a football player? #Nova #sarcasm
A_Oh_Kay	Gotta love when people use and move your stuff when you're not around... #sarcasm
ipox77	@JonStall2009 @KatrinaNation That, of course, was their PLAN for this year. #sarcasm https://twitter.com/ipox77/status/716825894883438592
mnkyeman27	@TheStarTrekGuy @GeorgeTakei I couldn't fit #sarcasm
JungyeonOTPs	@tzumaknae hahaha lmao I did change it for those 5 years old once's who can't still digest #sarcasm
SamVimes6	@NByaruhanga No, no... that's a 'Private Matter'.... don't confuse the two, Pleb. ;) @David_Cameron #sarcasm #hypocrite #panamapapers
MBourne5	RT @niravmaniar91: Have you been warned against the dangers of failing to "fire" your glutes? See below for consequences. #sarcasm https://…
kunjee	@BDUTT SBI bank. They also provide great loans with zero interest rate. You can also keep the loaned money. #sarcasm
michaelmcdonn	@molon_labia @MattWalshBlog your Ned school must be crazy, right wing, Christian nut jobs then! That has to be it! #sarcasm
justinEMIG	Wait, @cspenn so all those people from the Middle East are not super interested in my offering? #sarcasm #marketing http://www.christopherspenn.com/2016/04/how-to-spot-social-media-fakers-bots-and-dummy-accounts
feelgoodprizes	@David_Cameron 's family involved in alleged tax avoidance , I find this Hard to believe #sarcasm
welshiemich	@AbiYuson He did?!?! I didn't know this #sarcasm #hementionsiteverytwominutes
igrali	Don't like it when friends need a #sarcasm hashtag written all over to catch it.
Frazzling	@LindaFrum Yes, because *that* will serve Canadians #sarcasm
phuckthestate	@tbigggs @Cagsil surely he purchased the building already wired for demolition and was not a part of the plot. #sarcasm
vVvZero	@SovereignGuy @Steven_Swenson @Soldier1eaODGrn @Jan202017 @Browncoat_Atty Good. You found pictures. You're a very smart person. #sarcasm
MichaelMHanna	@FourthGenBruin @sideoutpar I'm shocked he isn't enthused by the wildly entertaining and successful product he's seeing weekly! #sarcasm 😕
IrelandUncut	RT @LiamCahill01: Glasnevin Wall is a wonderful idea. Looking forward to Polish Memorials to the Nazi Occupiers. #sarcasm
shwatson78	Word of mouth will be great for #mississippi! That's #sarcasm, @PhilBryantMS. https://twitter.com/serial54/status/717395646890659842
coletrickle4651	Thanks for all the color, bounce, grind options @VokeyWedges! Just had my first hour long wedge fitting/sale. #sarcasm
LeaJackman	@AustinJackman @OkraJones they are ALL NUTS. Do they know what "Money bags" means? Oh, I get it #sarcasm, right?
intoxitate	Just fantastic how everything is arranged today #sarcasm
TattooedMommii	So fun watching stupid people try to drive 😤 #sarcasm
John_WorldEnder	@Canaydee Yes, I'm sure you're stopped and frisked on a daily basis. #sarcasm But, yes, when I was younger I've had security follow me
MarieR__	In more groundbreaking hair news #newsnight #sarcasm #timeforbed https://twitter.com/dailymailceleb/status/717473655966588930
StormHedgehog	@DisneyStudios I can't wait to watch the sequel to a movie that got everything wrong about the original book and/or cartoon!!! 😄 #sarcasm
hawksEM	And things just keep getting better and better #sarcasm
TheFinnFiles	So whats the MLB playoff picture looking like?!?! #sarcasm #IShouldntHaveToHashtagSarcasm #ButIDo
reza0_0yahaya	RT @dewanset: 13 men Barca has no match... So strong... #sarcasm https://twitter.com/rioferdy5/status/717447238042128385
EtsyFabulous	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/10jbLR
Louiesoverit	I'm offended! Why can't it just be Cheese? Kraft give me some money for my pain and suffering #sarcasm http://twitter.com/Louiesoverit/status/717511857485971457/photo/1
ranynseng	The guys me and Reggina are attracted to >>>>>>> #sarcasm
CindyReynolds	Seeing #ScottWalker & #TedCruz on one stage just makes me glad to be an American. #Election2016 For anyone who doesn't know me. #sarcasm
Alessa_JB5SOS	RT @KiSS925: .@devobrown: @voguemagazine showed some pics of super average looking couple @zaynmalik & @GiGiHadid today #sarcasm https://t.…
norwind	#No sh*t! Who cares <#sarcasm> https://twitter.com/bmoredoc/status/717562908755038208
tx_nyer	@realDonaldTrump @FoxNews @ScottBaio well now that Scott Baio endorsed him he's a sure winner #sarcasm
Witticisms_R_us	Funny coffee mug,I hate everyone, coffee cup, novelty mug, gifts f… http://tuppu.net/fc50db9f #WitticismsRus #sarcasm http://twitter.com/Witticisms_R_us/status/717580824435032064/photo/1
AmyAnn64250002	@89SteveSmith I guess ur not from the south, cuz DV does not exist in those homes. #sarcasm It's truly not funny. But hardy is a joke
SaBobcat	because they (CLE) didn't... LeFraud did #sarcasm #mightbetruethough https://twitter.com/timkawakami/status/717580041694019584
aatishn	A tram? A train? Or something entirely revolutionary. #sarcasm https://twitter.com/Infra_VinayakCh/status/717633573272965120
neoronnie42	@GAMEdigital Awesome because we all wanted more CoD style Halo with endless ReQ's #sarcasm #HaloIsDead
toneseeker	@Morning_Joe Boy, some mornings Joe makes it difficult not to go back to bed. #sarcasm #lovestohearhimselftalk
bugalooa	Well at least he's sorry #sarcasm https://twitter.com/TheTorontoSun/status/717676009810763778
ThePeddle	@KeithDunneNL I guess dial up still has its place as well... #sarcasm
MandaFaye23	It's so lovely when everyone in Oklahoma City likes to go to work at the same time. #traffic #sarcasm
ThatOneShane	This week is fantastic. #sarcasm
KhabirM	RT @Benenati44: Record low temperatures today in the DC area. Guess there's no climate change after all? Such a relief. #sarcasm https://t.…
samuel_snead	I just love when my field ops get extended by 4 days......#sarcasm#poglife
SherriAlfonso	Wow, I was right?! What a shocker.... #sarcasm #youarenotentitled #karma
ddhanawat	Seems like everyone this season is supporting RCB in IPL but the team owner #IronicEh #sarcasm #OkBye
astonhedge	@YanniKouts Sorry, it supposed to be #sarcasm but occured true... Postmodernist Z.Baumann on terrorism (in Polish) http://wpolityce.pl/media/287783-obled-mjr-bauman-przekonuje-ze-do-islamskiego-terroryzmu-wypadaloby-sie-przyzwyczaic
RealHumZ	How rich people lift. #workout #sarcasm #LOL #funny #comedy #random https://vine.co/v/iIguzEZ0vD0
notmyname02	Yes, I want to sell china-made crap to the yokels in Rochester. Dream job. #sarcasm
raulhGarcia	@latimes an error? Did it mention the city of San Francisco? #sarcasm
yarahelweh	When a fuckboy asks about your name "My name is NO, my sign is NO..." #sarcasm @Meghan_Trainor http://twitter.com/yarahelweh/status/717834504740712452/photo/1
Cherice_H	Well thank god for Hillary's wisdom that brought us Panama Trade! #sarcasm https://twitter.com/FactCheckBernie/status/717837235828170752
SyD_EnglAnd	3rd transfer and no one seems to know what's wrong with my account. Thanks Comcast! Super awesome! #sarcasm #Comcastsucks
Luxilliaapp	@emiliaaahollin1 yeah, I know, lol... #sarcasm
jeff_underscore	The Colangelos running the Sixers - just like we all wanted. #boo #nope #vomit #sarcasm
SwordsGil	RT @jeffsentell: Look at Ben just throwing up 425. Grown man. Just imagine how strong he will be when turns 18. #sarcasm https://t.co/Lx7kr…
womenhate_truth	women who decide to get #abortions = often making the smartest decision of their entire dumb ass lives. We should enable them more #sarcasm
nullhypothesis9	RT @JeanetteJing: @EdDarrell @Dennis_Kucinich Impossible that the media would help lie us into war #sarcasm http://twitter.com/JeanetteJing/status/717889229825687552/photo/1
eternallyenrage	Great now i have to extend...oh joy. =.= #work #sarcasm
humimomi	RT @JeanetteJing: What shits we are for telling the truth about lying, corruption and warmongering. #sarcasm #HillarySoQualified https://t…
CloseDanger	RT @rrisc: Yea East Germans had a vote in the Yalta Conference&Potsdam Conference. #sarcasm @_MNmisfit
ALoadofBekkiS	@r4derby well you being a man does make you more superior, right? #sarcasm #feminist #ovariesbeforebrovaries
kenneysean	@RumpkeNews I really appreciate the 5:30am wake up every Wednesday morning! #sarcasm
Witticisms_R_us	Mature coffee mug, first date coffee, funny mug, F word, sarcasm, f… http://tuppu.net/e87a4134 #sarcasm #WitticismsRus http://twitter.com/Witticisms_R_us/status/718018718157017088/photo/1
rkargas	Haven't slept so today should be awesome. #sarcasm #WATCHOUT
janinfoster	If sober means being awake. @rebelcircus #rebelcircus #funny #meme #bitchy #sarcasm http://bit.ly/1Jr2dZu http://twitter.com/janinfoster/status/718031020898066433/photo/1
TMwThursday	Lo(o)t wasn't just a prophet of god. #sarcasm http://www.defensenews.com/story/defense/policy-budget/industry/2016/04/06/egypt-france-fighter-jet-frigate-satellite/82695674/
ChristineMart29	RT @JeanetteJing: What shits we are for telling the truth about lying, corruption and warmongering. #sarcasm #HillarySoQualified https://t…
NovaRLL	No big deal. #sarcasm #NationalChamps #NovaNation #POTUS https://twitter.com/NovaMBB/status/717926665561706497
yemimakinde	When you send someone a message which they think is a compliment... #shade #sarcasm http://gph.is/1OHSqjT?tc=1 via @giphy
Quote_Files	Avoid #sarcasm. Don't #insist on the last word. - Ford Frick http://tinyurl.com/z89sqpb
Jobaker46	RT @Jaistrup: @___JS2 @Jobaker46 that's ok coz worked out so well last time didn't it?! #sarcasm #CameronResign
Ash_Kazi	#HillarySoQualified she gets millions from wall street, big banks and oil company lobbyists, and they want nothing in return. #sarcasm
odandydoo	@CranfordSam ha,,,, decent start to the nats game #sarcasm #keepitup
jeffpeters9	@TMZ @TMZ_Sports oh and she totally earned them #sarcasm
trenner56	@DominicraonA this is a true statement! #sarcasm
CurseofPunto	@jakenyberg You really think the offense is going to be bad, or was that #sarcasm?
ReggieB253	@ThatDude_Works is she doin it with the dog filter? I watch if she uses the dog filter #sarcasm
_ChrisJScott	#sarcasm at its finest https://twitter.com/patmcafeeshow/status/718170363486695424
MoeR1996	RT @ESPNChiCubs: John Lackey: "14 runs, airtight defense. I'll take care of the rest." #sarcasm
clancyredrocket	RT @ESPNChiCubs: John Lackey: "14 runs, airtight defense. I'll take care of the rest." #sarcasm
mzmass183	RT @AlainKerkhofs: Always a good answer! 😂😂😂 #humor #fun #funny #quotes #quote #quoteoftheday #sarcasm #single… https://www.instagram.com/p/BD5bjc8p0iF/
kimothyy	Can someone please tell me who uses #OneDrive? #sarcasm http://twitter.com/kimothyy/status/718379177121067009/photo/1
NishadPNazer	dear @sarcastic_us , will it count as a #sarcasm when a sarcasm does'nt sound like sarcasm.?
omni_pundit	we all have that one person in our lives :D #askhole #sarcasm #frndlogic #relationshipgoals http://twitter.com/omni_pundit/status/718402896648212480/photo/1
klemay123	Did you say red line delays? That, like, NEVER happens! Wow! #sarcasm #pleasehelpme
DaveAnki	I will defend, to your death, my right to my opinion #sarcasm #FridayFeeling
alone_withmyaxe	RT @tricky_ricardo: Looks like the stormdrakes tabled the horrible looking chaos army. Didn't see that coming! #sarcasm #SCGT2016 https://t…
Ten_Ketsu	@elektrovilciens and if i turn them off, it only means that i'm playful. #sarcasm
ShawnLMartin	SEC really cares about the kids. #sarcasm https://twitter.com/ClowESPN/status/718488117645328384
SoCoLaura	@ztsamudzi White people have been victims too. And they don't have a month set aside for them, or Univ majors/courses. Boo hoo. #sarcasm
Peacebird9	@wcgirl1 @I3ump come on, Hills donor/owners paid good money to buy her. We, The People don't need to know what she promised them #sarcasm
oneill6003	@seriousaboutrl really?? Brough in the Sin Bin?? Well thats a surprise!! #sarcasm
Steven_Cross	It's a good job politicians aren't always full off shit. 💩 #sarcasm
brawl2099	CUZ THE INTERNET SAYS I'M WRONG HOW DARE I INFER THERE NOT OUT THEY'RE #sarcasm
thehirode	Know it well😂. #sarcasm #sargasm https://www.instagram.com/p/BD9QzfnF8cC/
ecupurplehaze	@baltimoreluke Begs the question - can Kim do any worse? #Orioles #sarcasm
baseballnbball	Im so glad Joe Simpson explained that guy on deck helps runner coming home know whetheror not to slide #sarcasm @Brava10
5kidsaremine	Really? #sarcasm Trump will end that. https://twitter.com/HouseCracka/status/718587115244765185
ryan_hinkle	RT @bobpockrass: If Kyle Busch gets another lead that big, NASCAR is going to require him to stop and sign a fan's hat. #sarcasm
swnewton31	I can see why everyone was so excited about the Twins lineup. #sarcasm
CoachKevinMoore	Apparently Brian Price feels more comfortable bringing in Hoov, the closer, in the 8th as opposed to Chapman the last few yrs.... #sarcasm
thrulookinglass	RT @Solutioneer72: #Bernie #Harlem office pulling in thousands #sarcasm https://twitter.com/hunterw/status/718194244704473089
cognitivedrops	@Donna_West @HillaryClinton wait, I'm confused... then what does your twitter name mean? #sarcasm
J_Steves_26	@sbrooksbaseball @Hendy759 @therealp25 wondering what Pauls position with the Bluejays is, seems to know more than brooks. #sarcasm
kris_kinder	See! They are just like us! Why do want to disenfranchise them? Vote #Trump2016 #sarcasm https://twitter.com/dailymail/status/718758244521525248
fihan_naru	It's cold being alone. I need warm hug so much 😫 #sarcasm #saturdaynight #single #haha #eh
1_whoisjohngalt	@FullOmniForce @WayneDupreeShow @antoniosabatojr Oh, well, now that you've sent proof... #sarcasm #alinsky
AirOpera	RT @JeanetteJing: Yet more unrealistic Sanders-backed legislation passes. Why can't he "get thing done?!" #sarcasm https://twitter.com/sensanders/status/718179301238140929
Hubway	Attending @TranspoCampNE and this came across our Facebook feed. #synergy #transpo #workingonit #sarcasm http://twitter.com/Hubway/status/718826365676613632/photo/1
stefbrown8	Every now and then my parents decide they want to parent, and I find it hilarious. #sarcasm
wdwvacationdad	Here's a great reason for having NC's bathroom law #sarcasm https://twitter.com/beyondmarshes/status/718831327760510977
kevinhinners	RT @JeanetteJing: Yet more unrealistic Sanders-backed legislation passes. Why can't he "get thing done?!" #sarcasm https://twitter.com/sensanders/status/718179301238140929
KickassDigital	If you accidentally fall in love, you can't call 911 for help. #sarcasm #marketing #digitalmarketing #digitalnomad #travel #solo #strategy
sddphoto	RT @DavidCornDC: Wow. Major spoiler there. #sarcasm https://twitter.com/philiprucker/status/718834848073297921
Glucks_drache	RT @DavidCornDC: Wow. Major spoiler there. #sarcasm https://twitter.com/philiprucker/status/718834848073297921
Diszident	RT @JeanetteJing: Yet more unrealistic Sanders-backed legislation passes. Why can't he "get thing done?!" #sarcasm https://twitter.com/sensanders/status/718179301238140929
montuckybama	RT @JeanetteJing: Yet more unrealistic Sanders-backed legislation passes. Why can't he "get thing done?!" #sarcasm https://twitter.com/sensanders/status/718179301238140929
NihonSaram	So proud of Gov.McCreary. If a Transperson has to be kept out of the bathroom to block minimum wages so be it. #GoALEC #sarcasm
nascarfan170	@SkidRowEarPizza let that sink in for a moment.... Oh yep. #BESTDRIVEREVER #sarcasm http://twitter.com/nascarfan170/status/718926445641248768/photo/1
toddlerwilliams	The danger of eternal fire is so important that it has to be preached, ...uhm, yeah, once a week should be enough. #sarcasm #hell
dmsandman	@DkChoco @tijn2001 @Q_TCork harassing super delegates? The people actually loyal to the party? I'm sure that will work. #sarcasm
ian0985	@Hayles_101 glad to see Joshua has modelled his physic on myself 😏 #sarcasm
Dplymkr88	@LivingOnChi how will he survive, he should drop out now #sarcasm for you #Hillbots
ErichHawbaker	RT @TallandRude: #ResistCapitalism because nothing feeds the hungry like removing incentives to farm #sarcasm
raynemarina	Sure thing, wouldn't miss it. Why else would I get up so early on a Sunday? Need a dose of brainwashing. #sarcasm https://twitter.com/lbc/status/719083105185894400
Luwandamagere	@rakidi For the Heath of Ugandans it's a better investment than say, cancer treatment #sarcasm
dmcgarr213	They need to get Jack Black to play Shazam. That guy is hilarious and would put the fun level through the roof! #sarcasm @BittrScrptReadr
Girlwholearns	When they need love they search for heart which is internal but they fall in love seein external figure #sarcasm @DouglasBooth
vishalmathur85	@ArvindKejriwal Recovered from booting session? One difference between trains & cars. Think nuclear attack. #sarcasm https://twitter.com/aaronpereira/status/719112673154043904
IamKrushit	@msdhoni's first game as Rising Pune Supergiants and his team won. I am very impressed with your game fixing talent. #IPL9 #sarcasm
LifeAndShit548	RT @jasoncollings: I love that the show Pawn Stars is totally unscripted. #sarcasm #thehistorychannel
samtman78	Don't worry we'll score with young upfront #mufc #sarcasm
chefcam	@greta wait I thought only black people died in jail. Is this a mistake?🤔 #sarcasm
Darth_Daver	So apparently traffic was bad in London today. I'm sure it was because of all the people headed home from church. #sarcasm #TOTvMUFC
JanicePLee	thks @match_UK surely a 3 day trial is all I will need #sarcasm the hashtag should be #someoneelsewill @BeingGinger http://twitter.com/JanicePLee/status/719247482228731905/photo/1
BFinn86	@TheFalcoholic no you don't! #sarcasm I get it
CathPioneerGirl	@_Onigiri1 This is all satirical, BTW #sarcasm #jokes #fooledyou
LOLsarcasms	This guy just trolled Dominos xD :P #LOL #sarcasm #LOLsarcasm #LOLsarcasms #sarcastic #fun #funny #funnypics http://twitter.com/LOLsarcasms/status/719364179161980928/photo/1
RottenDollie	Working from 8am to 6pm while sick and only having two hours sleep is totally fun !!!! #sarcasm
shallowvera	RT @desssmatos: I'm so excited to stay up and do all this homework (: #sarcasm
bridabom73	Happy birthday to me. Suicide Squad comes out on my birthday. It's gonna be the best part about turning 21. #sarcasm #SuicideSquad
Iona_Waugh_DQ	Back to a dreadful place called school yay can't you hear my excitement #sarcasm
aflscoresandne1	@triplemfooty Zac Dawson deserved a perfect 10. #sarcasm
5914f38359c44d2	RT @HareshVithlani: @ndtv wow very crucial for BJP!!! If they lose WB @ndtv should ask for resignation of central government #sarcasm
AkashGovani	@bhogleharsha The cake has been baked well. Alas! The icing is missing. #sarcasm #IPL2016 #HarshaBhogle
dmk1985	The chiming of bells in #Reading town centre is fucking brilliant when your just of the nightshift. Look forward to it every day #sarcasm
idwarp	RT @JeanetteJing: Seems like an appropriate response to mention of Libyan involvement in the U.S. torture program. #sarcasm https://t.co/V…
unclebizzy4	More snow and freezing rain. Just awesome. #sarcasm
