VrginX	They still make #GarbagePailKids? #sarcasm @toppscards: http://twitter.com/toppscards/status/693949069018939392
TracyHach	...#wtf... are you girls triplets? I can't tell the difference between the real Katie price and these two #sarcasm http://www.mirror.co.uk/news/real-life-stories/im-happy-daughter-strip-pay-7250232
nailonahornet	America is angry about Europe's tax investigations http://www.engadget.com/2016/02/01/us-versus-europe-google-tax-row/ fair way to think about someone else growth #sarcasm
Singingsands29	RT @DavidRomeiPHD: #Israel's Fascist #sarcasm insults the United States and President Obama. Deplorable use of language.https://t.co/4TCWp…
28Dave38	RT @smleinart: BUT HE'S "NAT'L SEC EXPERT"? #sarcasm 😒 He'll down Russian jets over sovereign Syria.. But Visas for Everyone! 🆘🇺🇸🔥 https:/…
Democrats_LOL	@HillaryClinton @POTUS ⁉️⁉️❓⁉️ sure Benghazi was a total success.. #sarcasm
benjaminfleck91	Pretty great deadline day thus far, wouldn't you agree @qbez11? #sarcasm #idontcareaboutPep #PremierLeague
jeff_purple	Just got a call telling me I could "make $10k in the next 10 days!" I'm glad they only called me with this offer... #sarcasm #wtf #go2work
wdbremer	#sarcasm — I’m more likely to use it if your tweet includes “your” when you mean “you’re” “that” instead of “who” & “few” instead of “less.
TurnervilleRd	Fucking right...with a little dash of sincere and mmmm...mmmm...mm #sarcasm #sarcastic #perfect https://www.instagram.com/p/BBQkG1EMHqj/
brandonpanks	RT @MikeSullivan: Cam Newton is wearing a winter hat on national TV. What a thug.... #sarcasm http://twitter.com/MikeSullivan/status/694262101578227712/photo/1
davidwebbshow	After 20+ years of success in media and life @jeffreymval I'm ok. You don't have to worry. #sarcasm
KeziahFenton	Can't find fresh ginger root I bought yesterday. Have to settle for ginger snaps instead. What a hardship #sarcasm
ClintDougherty	RT @MAnotGinger: Damn republicans rejecting socialism #sarcasm https://twitter.com/cher/status/694245308130287617
newageamazon	@JaimsVanDerBeek @cyberpilate But Lillian is A GIRL so it's FUNNY! #sarcasm
CharmzOdnanref	The so called 12:20pm train to bamba aroved at 12:30pm. How awesome 😊. #sarcasm well this train is crowded than expected. 😱
_ManinderSingh_	@N_5qr at his best!! Must Read 'Ishq Wala Louuu' http://wp.me/p75in5-2T #Love #arrangedmarriage #marriage #sarcasm
bipolarpieces	@VZWSupport TY4passing the buck/didn't help&sure u guys knew it wouldn't/i'm not losing confidence in @Verizon at all #sarcasm #epicfail
allenprice88	& tell yall how he bought everything that came his way for increased exposure. #sarcasm
MrPrideOfLions	@Treyarch nice update to #bo3, #sarcasm.
VigorBuddy	Why Sarcastic People Are More Successful | http://ow.ly/XMsOe #sarcasm #sarcasticyou #success
spoonieproblem	RT @Mae_DayJ: My mom says I should be a trainer for #spoonies lol... I was like, oh yeah there's a huge market for that #sarcasm #SpooniePr…
robinsnewswire	RT @Reynolds_Live: Who knew one states vote dictated the final results in the primary?#IowaCaucus #sarcasm
TomButlerFOX9	My fave segment every year! #sarcasm "@dalekFOX9: Even the crew is getting excited about miniature gardens http://twitter.com/dalekFOX9/status/694525563659137024/photo/1"
peachy5keen	What a lovely day in biotech thus far $CLDX $EXEL #sarcasm
MarkMalerich	Nice pickup by Suns getting Watson...good backup PG who can score a little and plays with energy. Wait...what?! He's the coach!?! #sarcasm
Gabby_Hoffman	.@seanmdav You forgot his hatred of avocados! Almost was a disqualifier for me. #sarcasm
drummerboy212	I dont drink coffee, so instead I wake up to the smell of public transportation. Mmm Mmm good. #bcbadashby #sarcasm
jendeclinesyou	It's ok tho because @AIRMILES is playing life house on repeat with a quality of an AM radio station, #sarcasm
Cannonballrun72	It's crazy to think that the people of Iowa don't respond well to a candidate that calls them stupid. #sarcasm #politicalstatus
TheAqua851	My boyfriend has blue eyes this means my horoscope is always true. #sarcasm #theyrerightthough https://twitter.com/LeoTerms/status/694537280287944705
marcoo_0123	can't wait for next hour #sarcasm
_alwillz	@nextofficial our directory arrive in a lovely state today. Thanks! #sarcasm http://twitter.com/_alwillz/status/694569200032022528/photo/1
zarqa	Oh goodie, Liz, the worst mother in PC, years running, has unleashed another devil spawn on the world. #sarcasm #GH https://twitter.com/GeneralHospital/status/694583020238450688
AmberRosemtl	@BoltUpight @MalikaFantasy that's not a concerning percentage at all! :/ #sarcasm
FrankT800	Really? I hadn't noticed... #sarcasm https://twitter.com/VGFGamers/status/694619198983671813
runnerted	RT @leclemot: So it looks like the Sarah Palin endorsement was really helpful for Trump. #sarcasm
GLGFantasy	@NPowellFF Man Nathan, all your tweets are hilarious. You should pick up comedy as a hobby. #sarcasm #youareuseless
PinkHuskeyDerp	wow.. thank you, twitter. For this wonderful, helpful update of yours.. #sarcasm
SteveSingh73	@theowalcott @adidasUK yet again you lived up to expectations!! #sarcasm
cara_cote	Love how the senior class does everything together😍😍😍😍😍 #goals #sarcasm
YoTerribleGamer	Who would defend the #FineBros Terrible Gamers would! http://youtu.be/Wyg-QZVOq18 #sarcasm
luckycloud77	Oh wow. You're cute & have a fast car? Never met a guy like you before! Pls tell me more abt how perfect we are for each other. #sarcasm 😉🤓😴
Cahillwill	RT @Gingers4Bernie: @votedonald_2016 @LiberalLaTchr @Cahillwill @mikesldy6969 @DonaldFTurner insert #sarcasm buddy, it'll take you full cir…
LoudHouseFS	Big surprise, Cooney misses another 3. That's worked so well for you this game, clearly it's the shot you should be taking. #sarcasm
sophia_kimmm	i love not sleeping !! #sarcasm
waldo9939	That's ALMOST as good as the Powerball. #sarcasm #stillgoodhaul https://twitter.com/aportzline/status/694738450189152256
Iqaluitkid	But weed is so cool dude! #sarcasm "What happens when you get stoned everyday for five years" http://www.independent.co.uk/life-style/health-and-families/health-news/smoking-a-lot-of-cannabis-can-permanently-damage-short-term-memory-researchers-confirm-a6848256.html
morus_bassanus	@peterboghossian There you go again with your hate speech! #sarcasm
karishma226	Wow! Way to go :P #sarcasm @TheFunnyTeens https://twitter.com/TheFunnyTeens/status/647222373754798080
DanHwyais	@rickygervais @WorkingBrother way to be respectful of another human being. I'm sure you'll end up exactly where you want. #sarcasm
Wyatt_Craig	Today is the day when I seriously thought about a career as a stripper or trying to break out on the "hickhop" scene. ( #sarcasm )
graceyinger	You know you're doing well when it's not even 10:00AM and you've already had 2 people assume you're 30. #sarcasm
VogtLoretta	RT @Calvinn_Hobbes: Because we all enjoy eating a plate of green goo #sarcasm http://twitter.com/Calvinn_Hobbes/status/692882108302295040/photo/1
TylerLee83	@CarrieRitchie well the government already tells women what they can and can't do with their bodies anyway. Why stop now. #sarcasm *eyeroll*
BC_1957	@Johnubacon You'd think they could get a better VO guy. #sarcasm
Zytharros	Keep it up, #Trump. Show your true rich boy colours to the world and whine your way to the top. #sarcasm
JeremyKnull	@joesanders33 @mornet_john SO DEREGULATE FINANCE #sarcasm Learn from 2008 and the roaring 1920s
tomfarr7	The metro is by far the best mode of transport in Newcastle... #sarcasm #metroapologises
lovemezain	RT @Mattypi0225: Wow, @MirandaMiller and I are having THE BEST NIGHT EVER!! #sarcasm #exaggeration
HeyVioletUpd	RT @Mattypi0225: Wow, @MirandaMiller and I are having THE BEST NIGHT EVER!! #sarcasm #exaggeration
_LaraV_	RT @Mattypi0225: Wow, @MirandaMiller and I are having THE BEST NIGHT EVER!! #sarcasm #exaggeration
icceblu7	RT @Mattypi0225: Wow, @MirandaMiller and I are having THE BEST NIGHT EVER!! #sarcasm #exaggeration
dcmarti1992	@SpeakerRyan Yes, b/c control is what it's all about in a republic! #sarcasm https://twitter.com/thehill/status/694974901858467841
cdh_art	@scATX At least you can count your governor among cis men, advocating for women's interests. #sarcasm https://twitter.com/brandigrissom/status/694972806191124480
Craft_Beard	#GMO #mosquitoes ... I'm sure nothing bad will come out of this (heavy #sarcasm)
ailsybaby14	Cant wait to spend another 40mins at newbridge 2moro morning due to the new light sequence. Fav start 2 everyday @trafficscotland #sarcasm
rhi_jai	@markwoodrow I arranged to crank up the #humidity in #brisbane for you. You can thank me later. #sarcasm #isitwinteryet?
jpad_ii	@Discovery it must have been above California this whole time, then. #sarcasm
MikeInBuffalo	Lots of sympathy coming from the GTA!! #sarcasm https://twitter.com/reporterchris/status/695075130653982720
StrongerThanT1D	@PavedSilverRoad My favorite days! #sarcasm #dsma
tombaugh	@joshklingler @DannyParkins @StevenSpector10 I get it #sarcasm from the moonlighter..nice one.
courtney_44444	RT @LauraHoulsworth: Yes. I do wake up every morning and spend 2 hours curling my hair. #sarcasm
EtsyFabulous	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/XTIU7
swhotmess	RT @DelGirlsHoops: Just so we understand this, we now think it's okay for non-citizens to pick our leaders. We're so nice! #sarcasm http…
Red_Dwarf_Posse	@edintravel @SunterAndrew Marvelous, the whole area is a traffic disaster zone at rush hour, sure this will help. #sarcasm
bigballsonchin	Clean up your own mess, jerk! @rebelcircus #rebelcircus #funny #meme #bitchy #sarcasm #sarcastic by rebelcircusquot… http://twitter.com/bigballsonchin/status/695202125035540481/photo/1
iNeedRobyn	RT @RihannaDaily: @rihanna you mean he's too sexy for Nivea? #sarcasm
rogue_architect	When the computer crashes before you've even started to work, you know it's going to be a fun day. #sarcasm #architectproblems
KurtThigpen	I love how every time I go to @Starbucks, my coffee never tastes the same. #sarcasm #ugh
ShaharOzeri	pointing out that people in other parts of the world are worse off than adjuncts, so adjuncts should complain is helpful. #sarcasm
GhaniimaAlm	RT @YuserAlm: Yes our country will develop so much as long as the youth keep on bringing franchised restaurants and cafes #sarcasm
ed_blythe	@thegoalkeeper MLS could just buy 6-8 planes and use them throughout the league then charter the few remaining flights. #sarcasm
jasondmitchell	@LindseyPelas because they ask for it, duh .. #sarcasm
FPTCenter	@DerekBodnerNBA he's a former rookie of the year!?! What are they thinking??? #sarcasm
edwardcharris	It would be absolutely terrible if #Anonymous were to acquire Martin Shkreli's information on Daraprim and release worldwide. #sarcasm
szabosolicitors	Read the tweet properly. It's a fake account. #sarcasm https://twitter.com/rhondakelly0/status/695363830327566336
JonJosephA	@MattMEgan5 I'm sure this tax increase will sail through Congress during this election year. #sarcasm
421karl	@CTVAnchor @CTVAtlantic ...and how would he know this -did the managers tell him #sarcasm
ptoc134	Ha..You mean winning championships is not number 1...#sarcasm #greatreminder https://twitter.com/PositiveCoachUS/status/695313004292747264
TommyHoppins	Public colleges and Universities should be tuition free @BernieSanders ? That'll increase the quality of education. #sarcasm #DemDebate
BillRansonGolf	Not bad, you should try to relax a little! #sarcasm RT @rickyleepotts: Thoughts on my new profile picture? #opinionswelcome
SueEllenColon	RT @locomoviewatch: I am sure Goldman Sachs gives @HillaryClinton donations out of the goodness of their hearts #sarcasm #DemDebate
javitomontiel	New #trending #GIF on @giphy #sarcasm, garth marenghis darkplace, stop being sarcastic http://twitter.com/javitomontiel/status/695488767625400321/photo/1
shanighias	PML N is very popular at inner Lahore #sarcasm — feeling naughty
JeanetteJing	@AnnettaJordan @Bernie45thPOTUS Unlabelled #sarcasm? https://twitter.com/jeanettejing/status/695278379180756992
homecare_co_uk	Older people lose the ability to detect sarcasm http://www.homecare.co.uk/news/article.cfm/id/1573248/older-people-lose-ability-sarcasm #oldpeople #sarcasm
lovescheddar	To those who are still interning goodlucks #no #sarcasm #intended
jamieradio	Not annoyed at all today ... #sarcasm
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
MichaelDite	-I took clothes for growth - and what? - I hadn't grown, man #sarcasm
Samantha_Diane	Nightmares are just oh so much fun. #sarcasm #SickOfThisShit
monalisette30	Another successful @uber trip! HOW MANY TIMES DO I NEED TO TELL YOU EXACTLY WHERE I NEED TO GO?! #sarcasm
BALichtman	Super Bowl Commercial To Raise Awareness Of Domestic Abuse http://on.digg.com/1JHqjAZ The #NFL & abuse? What a strange combo #sarcasm #PRAD553
bmweezy13	@CLTSCGirl I kinda picked up on the #sarcasm in that tweet 😀
TweetLikeASnake	I just love being sick. #sarcasm
silviakspiva	@amyengineer @DeniseFishburne @networkingnerd @CommsNinja @eiddor @petergjones I've been told I'm nicer in person. Hope that helps. #sarcasm
davfar	Old Country Buffet closing almost all Twin Cities locations. Guess my 30 year window of ever trying one of these is closed. #sarcasm
RestlessN8iv	@ThatKevinSmith yes, because the CAKE was the most shocking part of that whole ordeal. #sarcasm
theShyStepp	That's just what Lawrence needs, a new shopping center. 😑 #sarcasm https://twitter.com/nikkiwentling/status/695743538261168128
BuddaByNature	RT @RM_GermanFarmer: This is #sarcasm , we do have a dual after! Come support your UNK Wrestling team on Senior night against Lindenwood at…
MyWitsEndTweet	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
leonardociccone	@burdentruth you're obviously not the type of person that has to resort to petty insults and name calling to hide their ignorance #sarcasm
The_usmnt25	Were American outlaws chanting "Canada is stupid "? How very original #sarcasm #usmnt
carisa_howard	RT @momtheday: Take that #Moms! How do you "mom" a #toddler? Got #patience and a sense of humor? #momlife #toddlerlife #sarcasm https://t.…
Rebs33	I cared about you so much, glad to know that you felt the same way back #sarcasm
Elly123	Sounds like delightful weather out there for shopping in Exeter. #sarcasm #bloodyrain
KRNRGaming	If I didn't know better, I would think this was a bot and not a totally real person like it clearly is #sarcasm http://twitter.com/KRNRGaming/status/695899457439707136/photo/1
TuomoMa	@Antitheistnz Great news!!! Hope he's not a charlatan. *crosses fingers* Just in case you didn't understand @jawanehilton this was #sarcasm
TheRaz2007	I was #unaware I can get #STDs or #pregnant from simply having a #drink #sarcasm @CDCgov this is #stupid #cdcfail http://www.buzzfeed.com/morganshanahan/things-women-should-probably-stop-doing-in-case-they-get-pre
dcmarti1992	@CatoInstitute Make sure OUR govt doesn't do this, OK? Food for food banks. Bah! #sarcasm https://twitter.com/i/moments/695771926677983233
bigballsonchin	That sounds nice right about now 🤘🏾🤘🏾🤘🏾🤘🏾🤘🏾 #rebelcircus #funny #meme #bitchy #sarcasm #sarcastic #quote #bestquot… http://twitter.com/bigballsonchin/status/695985256298582018/photo/1
HibaKhan_19	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
bulentdogan	#apple not good to call support people #genius when they mess something up it becomes #sarcasm to call them a #genius #badservice
ciscokid454	RT @mbosschaart: Good to see the CEO thinks it's funny. It would be a drama to hardworking familiy people otherwise. #sarcasm https://t.co/…
basil_castle	I'm super excited to hear Cronins excuse for this one. #sarcasm
StephenC0nry	RT @Sandra_TheGreat: These tweets are so original #sarcasm http://twitter.com/Sandra_TheGreat/status/696049499995815936/photo/1
Wells_gon_Wild	@PersistentAbyss @_SolaRose @RlDICULOUSNESS All white people are terrible human beings. Duh #sarcasm
themhabstho	@Habs2112Tony but... DD! #sarcasm #GoHabsGo #EDMvsMTL
LovepinkOMG	Working on homework. What a fun Saturday activity!!! #homework #sarcasm #bleh
Hollerzzzz	THIS 🙌🏻 #work #sarcasm http://twitter.com/Hollerzzzz/status/696097163537948672/photo/1
green33123	RT @tarafernando963: Sarcasm: the brain's natural defence against the less intelligent #sarcasm #servedallday 😂😂
eatatjoe2	No sign of bias @smh is there? "scare campaign underpinning Labor's election platform". #sarcasm #auspol http://www.smh.com.au/federal-politics/political-news/malcolm-turnbull-pours-cold-water-on-gst-rise-during-abc-interview-20160206-gmnka4.html via @smh
sjfranchetto	Trump: we're not going to let people die in the street. Idk, this sounds like two steps from single-payer #sarcasm #GOPDebate
OldManPeterman	@chinger76 Knock it off #sarcasm #tweetvirgin
AllPowers	Oh Trump hits that one out of the ballpark #race. #GOPdebate. #sarcasm
outcast1011	Yay! I attened a whole week of school. Now I'm awarded with shopping! Go me! #sarcasm
NiquerSneaker	Glad I'm at home alone and sick af .... #sarcasm
icarusprakash	@anantha @chenthil_nathan if you can recall, KH was generous enough to play a cameo in arangetram, that gave KB his career best. :) #sarcasm
austin_sineath4	Mother of the year 😂👏👏👏 #sarcasm
dat_johnny_boy	So the NFL MVP award is going to a player who references marijuana, by "dabbing". Great job @NFL 👍 that's brilliant ! #sarcasm
MaclaineMajor	@rohan_connolly @jacobhold_ #sarcasm My grandmother told me it is the lowest form of wit.
Cmjourno	C'mon fantastic lamb and pickled beetroot.Hope the protein isn't over overcooked. Can't eat overcooked protein #sarcasm #MKR @mykitchenrules
5sosf0rever	RT @Mattypi0225: Wow, @MirandaMiller and I are having THE BEST NIGHT EVER!! #sarcasm #exaggeration
WTPads	Biassed people and their 'great' judgement -.- #sarcasm
HKarandikar	That's the problem my #FoE is taken away bcoz of helmet #sarcasm https://twitter.com/ManishManke/status/696286577564086272
campaignful	Good to see that @realDonaldTrump won’t be moved off his utterly detail-free campaign for POTUS. #sarcasm #clueless #unqualified
ViC_0508	@migerucb Pep would've done better! #sarcasm
flint1963	Well....they are #feelingtheBern, yeah? #sarcasm https://twitter.com/nupe117/status/696325973340483584
TheDreadfulPleb	@TransBraixen @Boogie2988 Yea cause records don't count when choosing politicians. The most recent flip-flops is all that matters #sarcasm
allycoke	RT @Samanth1826: Yay, the 6 nations has started!!! This is my favourite time of year! #sarcasm #hatefuckingrugby
bluecheddar1	@gnarlytrombone @forwardourmotto to be fair,thousands were calling walker Koch sucker. Society- destroying problem, to be sure.#sarcasm
DRobichaud22	How crazy is that? Super Bowl is trending on twitter today? Wow?? Unbelievable! I never would have believed it! #sarcasm
RunCrazyKyle	I blame it on living in the #dirtyjerz #sarcasm #sorrynitsorry #amikidding #what https://www.instagram.com/p/BBgD8lYNigU/
Evil_Zoe	Oh hey, I hear there is a game on today.... 🏈 #SuperBowl #SuperBowlSunday #sarcasm
td_steff	so excited for the super bowl #sarcasm
egoltz	@BlackBlueReview What??? No way! #sarcasm
Jabeydoben	@funnydanny Much better choice than Metallica #sarcasm
zoesmithen	My favorite part besides commercials of #SuperBowl is all of these YouTubers tweeting about it 😂😂 #YouTube #sassy #sarcasm #football
colbyjd3	RT @rrhutch: If I had a nickel for every time I said, "man I wish my truck bed had audio!" #sheep #sb50 #honda #sarcasm
AnnBDavisSBBall	@ChrisRongey Describing a black QBs abilities w term "bullets" - not very PC of you #sarcasm
rmullen63	@Espngreeny you forgot #sarcasm
professorNerdMD	@DM_Mitch well, looks like I have to unfollow. It's been swell mate. #sarcasm #TeamIronMan
geraghty040	Oh great, get out the banners. #sarcasm #Drumm #todaysor https://twitter.com/WhistleIRL/status/696595504948494336
hannahbarkley26	@AnnaKendrick47 Ur British accent was on point last night , all British people sound like chimney sweeps of course 😑😑 #sarcasm 😂😂
xojungsooyul	RT @ninexistent: Sooyoung kicked Jessica out #sarcasm http://twitter.com/ninexistent/status/696578003849994240/photo/1
sazzie999	Watered and fed and back to bed #imsolucky #sarcasm
Laylaloves	@TimboJ0nes I'm Not doing that! #sarcasm
Witticisms_R_us	Funny tee shirt, everythings a dildo, graphic tee, statement t, ladie… http://tuppu.net/6cf4d212 #sarcasm #StatementT http://twitter.com/Witticisms_R_us/status/696713273899556864/photo/1
OldAgeBook	RT @theSarahKhan: Excellent news! There's more wrong with my knee than jus a tear. #sarcasm #eyeroll #oldage
allisonmanila	So my aunt thought it'd be funny to give me an engagement ring... real funny. #sarcasm http://twitter.com/allisonmanila/status/696750154158731264/photo/1
2a99404451314c1	@Bannys thanks for the tweet that says thanks for following us #sarcasm
nadia_fordham	Thanks for not informing me of the time change in my cleaning lady's schedule for today @WestNHouse #sarcasm
SimplyShaylaJo	Oh what a glorious day for the hot water heater to go out #sarcasm
LegalySarcastic	"Seriously. It's almost as bad as being a plaintiff's PI lawyer, which is the worse." #tsl #sarcasm #lawyer #beinghonest #donthate
AnishNookla	In a way, if you think about, #uncertainty is #absence of nothing #sarcasm #jk . :P https://twitter.com/apen_designs/status/695909978935132161
DLRShaw	The coolest dad on the planet w/ @PacManPayen, @Arberi_10, @HH_Chracker #sarcasm... (Vine by @thewebbeffect19) https://vine.co/v/i1pw2iOxawb
Duck_Hunter7	@KennethRogersJr Dont you know theyre the only ones who ever tell the truth? #sarcasm @sandralaegel @Hdngttrn @tomr373 @gooseycheeks
JediBeagle1	Well, Olivia just won me over, I mean who doesn't want to talk smart things?? #TheBachelor #sarcasm
pensfan9295	Nice that Steigy doesn't let the game interfere with his stories. #what'sthepenalty? #sarcasm
jaredlindau	@ArtSlott @polyglotme @maddow @Everytown you reply with her website? Clearly an objective and unbiased source of information #sarcasm
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
_crabbypatties	I love finishing my assignments at 2am because the website loves to freeze 😁🙃🙃🤗🤗 #sarcasm
Nayaronelle7	RT @BDaniels_Sing: ...... NO IT WONT #sarcasm #sting #EsuranceSweepstakes #JUSTKIDING https://twitter.com/IsaacA08/status/696964346455441409
cuteygirl288h	The coolest dad on the planet w/ @PacManPayen, @Arberi_10, @HH_Chracker #sarcasm... (Vine by @thewebbeffect19) https://vine.co/v/i1pw2iOxawb
safaribadwan	I would like to thank my dad for reviving my anxiety after only 5 days spent with him 👍 #sarcasm
jessnoopdogg	I'm so excited for it to be 1 degree on Saturday #no #sarcasm #love #this #weather
sidalok	The vulnerability towards bouncers and pace bowling continues. "The best t20 team, India." #IndvSL #T20 #sarcasm
LeonaWorcester	I just discovered a new law of nature! "Thou shalt never enter thy password correctly the first time." #science #sarcasm #TechTuesday
Niki_Giurato	You're welcome #sarcasm #iloveit https://www.instagram.com/p/BBky0l-OUpg00sDCgPg1HgTletW910ovp4xrhc0/
anarcho7	RT @BadQuakerBen: Election Tuesday-New Hampshire Principled FSP anarchists try to use gov for their will by voting #sarcasm #voteharder #S…
SkeksisOnStilts	RT @BadQuakerBen: Election Tuesday-New Hampshire Principled FSP anarchists try to use gov for their will by voting #sarcasm #voteharder #S…
joe90kane	RT @AdamRamsay: @UK_Together @RadicalUnion whereas being governed by Westminster means no cuts at all... #sarcasm
thetrevatrev	The coolest dad on the planet w/ @PacManPayen, @Arberi_10, @HH_Chracker #sarcasm... (Vine by @thewebbeffect19) https://vine.co/v/i1pw2iOxawb
Andyk4444	@smoggy1985 @benjameson2 @PR_Teesside not the last 2 weeks he ain't mate #sarcasm
bigballsonchin	😒 is it Friday? #mood #work #workflow #Friday #lmao #isitfridayyet #funnyshit #sarcasm #tuesday #funny #sarcastic #… http://twitter.com/bigballsonchin/status/697171254080573440/photo/1
lala_ann	@HeffronDrive snapchat?? What's that?! Is that where u snap ur fingers while u chat?? #sarcasm
MrJoplin_	@lindseyhubss wow....that picture REALLY brings out my eyes #sarcasm 😂
marci63rm	What a wonderful day today! #Apple #sarcasm
RkCreekWerewolf	#GOP candidates clamor over who would commit the most #WarCrimes; #GodBlessAmerica #sarcasm http://www.slate.com/blogs/the_slatest/2016/02/09/trump_is_beating_cruz_in_the_war_crimes_primary.html
mrmeyerhofer	Hats off to Michigan GOP for ignoring thousands of black kids dying from lead poisoning to pass a bill that bans anal sex. #sarcasm
Whiteagle106	RT @LindaSuhler: Nothing says standing up a/g GREED like banding together for FREE STUFF #sarcasm #socialism https://www.facebook.com/EnemiesOfLiberalism/photos/a.310586372408546.1073741828.310559449077905/769369089863603/?type=3&theater https:…
ZetaKenju	and people try to convince me Kanye isn't an asshole, but hey he says cool funny things so its ok right? #sarcasm
sazzle_r	Oh dear poor old Liverpool! #sarcasm https://twitter.com/skysportsnewshq/status/697315325252075520
diizyindigo	Money isn't a issue I can forever get money dedicate my life too it and forever be depressed but hey at least I'm rich #sarcasm
reismanis	The coolest dad on the planet w/ @PacManPayen, @Arberi_10, @HH_Chracker #sarcasm... (Vine by @thewebbeffect19) https://vine.co/v/i1pw2iOxawb
LeCidBauer	@HMRCgovuk just watch #dispatches. Carry on the good job guys! You're chasing the right people!! #sarcasm #fuckyou
tdglm29	Don't message me when you're bored! My name is not #AdamLambert, I'm not here for your entertainment! #sarcasm
FollowMink	I will live forever haha.. #sarcasm adds years to your life https://twitter.com/psychologicaI/status/551233722951819265
MichaelSabett	RT @birdcomicstrip: Homophobe: "No, you look like a bird!" Me: "Really? Aaw... Thank you!!" <3 #bird #joke #animal #sarcasm #funny #gay ht…
FChaconCR	@ChrisChristie paved the way to Trump and then drops out. Thanks a lot. #sarcasm
CORY06	haha the song stopped.. like if someone hacked it and changed the song, funny, yeah made me laugh #sarcasm
potsiejo	My doctor told me to stop taking tramadol.when I asked "what about the pain?" his response was to train my brain. I can't wait! #sarcasm
JConHolla	5 defensive starters lost including top 5 DE in @Capy39...good job @REDBLACKSGM #sarcasm Obvious you never played football #newMattMillen
nightowlrradio	I really needed YOU machine-mopping by me in store after i walked 3 mi. in snowstorm, #idiot. #sarcasm
FTRsteve	Awesome view from my hotel room! I love traveling for work! I've had so much fun today! #sarcasm… https://www.instagram.com/p/BBn9CJHjyq7/
ke_dog94	@GirlsHeartGeeks It's always good when things work properly #sarcasm
enjyu92	Will of Crota because she is mean. - Destiny #gaming #sarcasm #letsplay #PvE http://youtu.be/EpFwEtmDFDg?a
DADNALDTRUMP	@JDiamond1 @myhealthcoach1 Whaat? Muslims at a Trump rally!? But the left said being Muslim at a Trump rally is dangerous! #sarcasm
jcarpro	@fgtegg So you sympathize with #BlackLivesMatter I take it? #sarcasm #teamtbi
jaidie_jaidus	$26 for two pizza. love you dominos #sarcasm
TdotinLA	I love when the alarm goes off at 4:45am. #sarcasm
shine__nelson	@r0h1n because @facebook is a pro-Net-Neutrality company 😝 #sarcasm
madhatressTO	Wonder why 🤔 #sarcasm https://twitter.com/CBCNews/status/697706741253931008
AddisonMarch	What a refreshing 4 hours of sleep #sarcasm
