liz2halle8liz4	Sorry. Forgot the #sarcasm quotes around "kinda". https://twitter.com/answerallman/status/804107517194223616
Josh_DFWPulse	#sarcasm never works bruh https://twitter.com/bdhawkes/status/805244306466500608
ANToutofcontext	As a nonfarming white male, I'm offended by the http://farmersonly.com commercials. #sarcasm They are cornier than thanksgiving shits. #🌽💩
randomdemetriaa	i always procrastinate, cause i'll be older, therefore wiser. #sarcasm #meme
KushalMTrivedi	If at first you don't succeed, destroy any evidence that you ever tried. #startup #Entrepreneur #Entreprenuership #sarcasm #tech #quote
lxlxvnnx	Wow, the lights from Balboa December Nights were great 😍 #sarcasm https://twitter.com/lxlxvnnx/status/805261885985558528/photo/1
malexmartin	RT @PropellerBeer: Luckily my 5 year old son has had multiple job offers today so he shouldn't miss out on his education. #nspoli #sarcasm…
Kmetz716	RT @HostLife_: I love doing the work of 3 people 😒😒😒 #sarcasm #HostessProblems #HostLife https://twitter.com/HostLife_/status/785898689529257984/photo/1
djstangl	The new horrible rendition of Wizard of Oz is coming so we've got that to look forward to #sarcasm
MariaVictoriaa0	I'm so freakin excited that I'm awake at 7am on a weekend 👍🏻 #sarcasm
gonealgonow	@PrisonPlanet judge potential spouses by the color of their skin, not content of their character, just like MLK said, right? #sarcasm
ethanfletcher_7	@PlaythingKat that's something to put out there... #sarcasm
laurenndrew	Do you know what I love on a Sunday? Children's soft play centres, they're so quiet and relaxing #not #sarcasm 😂
exgag	It's a girly thing. #exgag #exgagtale #exgagjoke #sarcasm #relatable #scribbletale #inspire #humour #jokes #writers… https://twitter.com/i/web/status/805426646337601536
dplaz19761	@davidaxelrod @realDonaldTrump @nbcsnl It's really okay. It's not like gearing up to be Prez takes a lot of time or effort. #sarcasm
Prosperity2K	So 30000 viewers nice #RLCS #sarcasm
viewfromamerica	There are a lot of very upset Michigan fans out there. I'm sad for them that they didn't see their team with the B1G Championship. #sarcasm
RightBlackAtYou	@Ziggy_Daddy Thanks for so such concern for us helpless minorities. We couldn't survive w/o white liberals w/savior complexes. #sarcasm
babsclio	Feck Liverpool and their 3-4, got photo taken with The Coca-Cola Lorry !#lovechristmas #sarcasm
S3nt13ntB31ng	@feetballgame @Vickie627 @TexasTribune or #sarcasm as it were. Thanks again
RobDavePerry	@Arron_banks And they insisted on curved bananas, Arron - don't forget that. #sarcasm #ukip #Nurse! #WhatTheActual #ReadSomeHistory
RealBoss_Goomba	These refs at the Giants game are ass. Pass interference doesn't exist, the steelers are just so good. #sarcasm
jbstokey	Really? Glad we're going to a fair and unbiased bowl game.... #sarcasm https://twitter.com/musiccitybowl/status/805577922832646144
kpskittle	Absolutely LOVE being in group chats 🙃🙃🙃 #sarcasm
2AFightR	Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP http://twitter.com/atomiktiger/status/382978928761008129/photo/1
YazzTheDivaKTLA	So i'm gonna act like @myTGIFManny blocked me for making jokes about him on Facebook. Time for me to be petty asf 😂😂😂😂 #sarcasm
SeanJanos	RT @kobebryant: Thank u @calball4life for the clarity. I didn't know that when I wrote it #thankutweet #sarcasm
DanniDuvall93	#goodmorningbritain Jamie Brady and his wife, such a charismatic couple....not #sarcasm #boring
guthrofan	RT @PropellerBeer: Luckily my 5 year old son has had multiple job offers today so he shouldn't miss out on his education. #nspoli #sarcasm…
bunkerpazin	Thank you imaan., true inspiration.. #standupcomedy #standup #pazin #istra #istria #sarcasm… https://www.instagram.com/p/BNoilmYg90q/
menliketrees	@PrisonPlanet That's racist! Apologise now! #sarcasm
AfzPK	RT @HaroonRsh: Haram Alert: Physics in QAU & NCP may be toxic for your 'Eeman' now onwards. Stay awake 'muzlims'. #sarcasm #abdussalam
portraitgrip	Ay my bus is late and I have an exam, nice #sarcasm
KiyoshiTheKidd	I need to buy this... a high five to the face is just what the doctor ordered 😆 . . . . #sarcasm… https://www.instagram.com/p/BNo7yE0hLO1/
jeff_stanger	@DeplorableMikel excuse me, he "lectured" the shit out of that university. i "professed" a giant lie to sway yer followers #sarcasm #goaway
DaleNeurauter	@CarlyMeg88 @SouthernChaos13 @CaIlMeJoseph @rahulsood @realDonaldTrump As are you. #sarcasm
FutureMrsSheen	@duanejsimpson @jasonrapert LOL yes because "giving" us the Clintons was such a blessing #sarcasm 🙄
Setovich_Dad	@Walgreens code PHOTODEAL50 and i chat service and get told sorry notbjbg can be done on your order. Wonderful service #sarcasm
wavematt	I love the latest "new document" dialog in #photoshop & #illustrator. Used to open too quickly but now I can wait 5 sec each time. #sarcasm
LycheeNutLunch	@JoeyyTBanks Oh I forgot kazmir. Totally elite also. #sarcasm #again
vegangirl360	Now remember girls we don't get to choose what we do with out bodies..only men do. #sarcasm https://twitter.com/FemMajority/status/805858499238498305
Newlaw1995	The hell you say! #sarcasm https://twitter.com/cerenomri/status/805656365511413760
KevinKovanich	Sale's replacement. A deal is imminent. #sarcasm #sources #mysteryteam https://twitter.com/futuresox/status/805906174600220676
WitzigJokes	When your fundas hit you back 😝😝 #hahahaha #lol #TrueStory #sarcasm https://twitter.com/WitzigJokes/status/805947449743462400/photo/1
topazkat	RT @ABKayEl: @megynkelly @GovMikeHuckabee Sure. Neurosurgery and Urban Development totally go hand in hand. Right. #sarcasm 🙄🙄🙄
earlsamuelson	No math here at all....... #sarcasm #abed Ackerman Steering http://datagenetics.com/blog/december12016/index.html
Superfosh	Training for two hours at work today. YAY! #sarcasm
plottwistparent	@SaltyCorpse @mommy_cusses But... but... she's a special little snowflake. #sarcasm
MattYouck	@DLoesch your Australian accent yesterday was racist. #sarcasm
JokeUntranslatd	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
MBridegam	RT @pwolgin: So it turns out those family detention facilities shouldn't be holding children. Who knew? http://www.latimes.com/nation/la-na-texas-immigration-detention-release-20161204-story.html #sarcasm
Victorc25	RT @weddady: I mean.. human rights are a bourgeois concern anyway ;) #sarcasm https://twitter.com/FRANCE24/status/806205162972819456
NourHassan2012	it's kinda #attractive when someone can reply to your #sarcasm with sarcasm instead of just getting #offended !
garydevlin	Fuck me. Klopp takes team to watch game. He is a god #sarcasm
Straffo	@Numenor33 @LucyXIV my tweet utilised #sarcasm
JustTheJune0101	@iamchrisscott 'Our of touch elite liberal with your 'fancy' veggies.' Lol. #sarcasm
SteveAuckly	@EddieTrunk This is why we love the Grammys. #sarcasm http://consequenceofsound.net/2016/12/beyonce-and-disturbed-will-face-off-for-best-rock-performance-at-the-2017-grammys/
mean_kitteh	@MGigger @helpfulideology @DynamiteAg wheat too I'm sure. Which is why human can't eat the glutenz without dying now #sarcasm
JoelsFTW	Yes please confront the psycho with the stone. #TheFlash #DCComics #sarcasm
SpartanJessica	What a relief! #sarcasm https://twitter.com/frankiemacd/status/806246310999453696
exgag	This Day That Year. #exgag #exgagtale #sarcasm #relatable #happybirthday #humour #writers #viralstuff… https://twitter.com/i/web/status/806347693748527105
Zyrgle	@realmattyvegas @Harryzokay @FoxNews @CLewandowski_ "God is an American" #sarcasm https://youtu.be/40ICrSa29EA
NJMike319	RT @2AFightR: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5p…
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
NoScience4War	.@SarcasmIs_Funny Biting Truthful #sarcasm The highest form of wit : If you don't laugh You'll cry Ouch ;) https://twitter.com/NoScience4War/status/806380935239335936/photo/1
WhiteKevin32	Want to pay the most & get the least? Travel @SW_Trains & @SouthernRailUK Luckily there will be another fare rise soon 👍#sarcasm #commuter
factomani	#sarcasm #comics #fotomani You can also like our FB page https://www.facebook.com/Factomani-1809583092632575/ https://twitter.com/factomani/status/806452527248052225/photo/1
michaelb_1980	How do I unhear the #CruzBeckham What an awful thing it is. Wonder if it was talent or his surname that got him the gig? #sarcasm
benepedia	A new update of one of my favorite childhood books is out now! #sarcasm #humanityispointless https://twitter.com/benepedia/status/806471904684974080/photo/1
SaadNC	I love how everybody keeps glorifying this criminal; reminds them of their drug addiction? #sarcasm #PabloEscobar… https://twitter.com/i/web/status/806476619661672448
exgag	Be a little fun. #exgag #exgagtale #exgagjoke #sarcasm #relatable #scribbletale #inspire #humour #jokes #writers… https://twitter.com/i/web/status/806498685030924289
UniSwindle	Ah the #police force. Moral guardians of humanity #sarcasm https://twitter.com/DailyCopWatch/status/806308361469837312
Werki88	RT @Punchdrunkdoc: Stunts. Yay. How new and exciting. #sarcasm https://twitter.com/briforsul/status/806561250243026944
WorkmanNathan	When in doubt, just assume everything I say is sarcastic. You're totally smart enough to realize that. #sarcasm https://twitter.com/WorkmanNathan/status/806566146757558273/photo/1
TrumpNotMyPrez	RT @AngieChilders: @CLewandowski_ @FoxNews Whew! I was terrified I would be jailed for saying Merry Christmas! #sarcasm #notmypresident #Im…
diegowa	RT @yegor256: New post on my blog: "How to Pay Programmers Less" http://www.yegor256.com/2016/12/06/how-to-pay-programmers-less.html #sarcasm #programmers
yard_dog71	What's @realDonaldTrump think about that? SAD! Stop buying from #Boeing #sarcasm https://twitter.com/willmcavoyacn/status/806586788538155009
bkverona	Dont worry @Royals fans, we have the #mexicutioner for the 8th. #sarcasm https://twitter.com/caseystern/status/806596870193709056
TweetsbyBridget	@mel_day right after we had our nails done at the salon and talked about our periods non-stop for 20 minutes 💁🏻 #sarcasm #stillraging
Laurapal27	I'm doing it. I'm watching the train wreck that is #HairsprayLive. The lights and camera work are obviously top notch. #sarcasm
Lady4Yeshua	Of course! Because we all know #Syria is #Israel's fault! #sarcasm #UN = #UselessNations ! https://twitter.com/CUFI/status/806274152231538688
JamieIs88	The weather is great. Picture opportunities are good though. #sarcasm https://www.instagram.com/p/BNv9NCaBbKW/
jarrettmeyer	@feliciaday corporations are people too. #sarcasm
smartassquote	This is what they say about the Holidays come January! #holidays #january #fun #games #humor #funny #sarcasm... http://fb.me/1ALJDXsUp
Ojmed1803	Scrap that. Don't have the #skillz and the #memez to do that memey thing. #sarcasm
aleksi_scott	@zeroinscw read my tweets my man. #sarcasm #sjwspeak
gonealgonow	@exmuslimsofna spoiler alert: Yes Which is amazing, since Muslim men never beat women. #sarcasm
mrclemens	@joshtpm Unemployment down. Stock market up. Christmas on schedule. Remarkable turnaround in only a month. #sarcasm
danieljdejesus	RT @eltipoblog1: Scott Pruitt, Climate Change Denialist, to Lead E.P.A., via @nytimes "sure, this seems like a nice choice" #sarcasm https…
entertainscape	What is your favorite way to express sarcasm? I bet it totally sucks. #sarcasm
LakotaLutrova	@DireHeartbeat you're biased for hating on an 'armband' that has nothing to do with a symbol of hate. Absolutely nothing at all... #sarcasm
ashthedragonman	A person doesn't experience sexual attraction? What is this madness? #sarcasm
PGar58	...AND ANYONE found with #NYY gear in their Possession will be placed under Arrest and thrown in the Dungeon #thatisall #notreally #sarcasm
TimBontemps	@DannyLeroux Twitter needs a #sarcasm font
jayliebs	While we are at it, I still think there needs to be a standard #typeface for #sarcasm. I once suggested backwards italics. Now, comic sans.
6h05tly	@JourneyofJag Oh god, I hope there isn't a patch that extends the story for The Last Guardian! 😱 #sarcasm
ChrisPhillipsWx	RT @JudeRedfield: Keep a watchful eye on February 17th. Long range weather models spitting out an epic winter storm. #sarcasm
junetwentyblog	This just in, Lincoln quite enjoys leisurely poos in the dead of the freezing night. It's so awesome. #sarcasm #tailsoflincoln
croblovesmadden	@rosiu36 @RAIDERS u mean why pass when we have a 100 yards rushing vs 100 passing in the 4th? I don't know lol? #sarcasm
MikeJBknows	@DamonMartin ...because THAT logic made so many action movies better. #sarcasm
Whatshappenin_g	I didn't realised. #sarcasm #lol #rofl #funnymemes #usa #india #delhi #mumbai #bangalore … http://ift.tt/2gId4HA https://twitter.com/Whatshappenin_g/status/807134638577750016/photo/1
MalcolmNance	RT @weddady: Yeah, who needs young Americans to learn the Arabic language and culture anyway? Make America Great Again! #sarcasm https://t.…
datagoodies	RT @weddady: Yeah, who needs young Americans to learn the Arabic language and culture anyway? Make America Great Again! #sarcasm https://t.…
mrdavejohnston	@thehill ...this coming from the same sources that said he couldn't win. Tons of credibility. #sarcasm
allison_pang	Hmmm. Woke up this morning and no running water. Awesome! #sarcasm
jbassset	@gunsnroses @ATT HOLY SHIT WHAT A DEAL! The opportunity to buy tickets to a hasbeen band before other people! WHOOOOOO... #sarcasm
mandeepkaur	So my little brother has gone to Canada for a month...and I am stuck here recovering from an operation. Nope I'm not jealous 😩 #sarcasm
Patrice822	RT @GrnEyedBandita: If #Obama had all this messiness behind him before taking office....oh nvm racism doesn't exist anymore #sarcasm
goukas3	@Donwhitmore @JuliaCordell1 uh oh, we've got ourselves a modern Robin Hood here! What a hero this guy is #sarcasm
JordanTagawa	@ThomasCox20 but, will I understand the second one if I don't read the first? #sarcasm #ilikereading
fongaboo	@CBSNews Focus on the real inequity #sarcasm #draintheswamp #trumpcabinet @realDonaldTrump https://twitter.com/fongaboo/status/807332551358640129/photo/1
walkonwater202	@MattOswaltVA But Hillary had evil machinations. Trump is doing it for the good of the country! 🙄 #sarcasm
ctartfan	RT @Lannatexasgal: So now Trump has blocked the Women's March Protest in DC? Nah he's not a lilMussolini wanna be.. #sarcasm
FelipeH514	RT @larmarhar: I have been left on seen in the @VWcanada DMs 6 separate times. Great customer service guys, thanks #sarcasm
feralgear	SARCASM IS JUST ANOTHER SERVICE I OFFER Shop @ http://bit.ly/1MlYYK6 #sarcasm #humor #sarcastic #gift #joke http://twitter.com/feralgear/status/712648702788313088/photo/1
emdawgster	"I think you have a hard time seeing your talents and best qualities" Never heard that before #sarcasm
DaPro63	@ghostofhogan @QuailValleyGC Can't believe that the pin didn't get moved from yesterday! #sarcasm
mnabers	Dinner, grocery store, dishes, and laundry. Exciting Friday. #pumped #adult #sarcasm
duhitzbrooklynx	When your friend tells a bad joke so u laugh not to make them sad #sarcasm https://twitter.com/duhitzbrooklynx/status/807442173792657408/photo/1
exgag	Quote of the Day. #exgag #exgagtale #exgagjoke #sarcasm #relatable #scribbletale #inspire #exgagquote #writers… https://twitter.com/i/web/status/807450004147372032
shittyinsults	@KendallJenner Just excuse an #insult #me ooo... #justpranks #loveyou #sarcasm
sfnohohon	Automated Assistants Will Soon Make a Bid for Your Finances http://nyti.ms/2hiJ2tZ #soundslikeagreatidea #sarcasm
book_faerie	And I just realized that the Husband left the sunporch door wiiiiide the fuck open b/c it's fucking freezing in here. Thanks, dear. #sarcasm
OmarHajdarpasic	@AhmedKha67 @Nikola8301 i wasn't joking AT ALL, i was 100% serious #sarcasm
MissBubbaArmy	To be a smartass today or not, that is the question.... #smartass #sarcasm #dontbesoserious
DlscReplayHE	RT @anirvanghosh: @realDonaldTrump So CNN & WaPo are fake news. So is Breitbart now the only source of good, credible news? #sarcasm
curlittsomas191	RT @xaeyr: .@realDonaldTrump didn't like SNL. My problems seem so small now. Thank you for showing me what's important! #sarcasm
JanJohnsonFL	I guess @MrsBodie2 has a comprehension problem... #sarcasm. @joycefromli @JoyAnnReid
Spashley17	Well today is off to a great start... #sarcasm
NatBornCdn	I don't see song lyrics, "electoral reform" or "climate change" anywhere prominent here. Weird! #sarcasm… https://twitter.com/i/web/status/807615961046007808
CornhuskerMax	@SBNationCFB @SBNation can't wait to watch Miami's 23rd @30for30. #sarcasm
brassmonkey3434	RT @DiscardedVirtue: So, did the #DamnRussians hose @BernieSanders campaign too? Oh, the humanity. #sarcasm
dp3894	Video of culprit who hacked #election2016 https://youtu.be/Us6jo8bl2lk #satire #sarcasm @realalexjones @prisonplanet @markdice @frankierusso1
LastSafePort	#gify #sarcasm #science #scifi Looking for a funny or sci-fi gift? A sarcastic mug or print?… https://twitter.com/i/web/status/807671282569461763
joshkreitzer	RT @_mensign: But there was no chance of a spill and contamination of ground water. How could this happen? #sarcasm https://twitter.com/nrdc/status/807660432819372032
Kos_Cars	I've become a master of #sarcasm #SignsIveMatured https://twitter.com/Kos_Cars/status/807709500996096000/photo/1
exgag	This Day That Year. Birthday wishes :) #exgag #exgagtale #sarcasm #relatable #happybirthday #humour #writers… https://twitter.com/i/web/status/807800869530009605
RobinC680News	@TimHortons Thanks for the response,much appreciated...top drawer customer service... #sarcasm
Basia_UK	Just saying...! 😘 #FriendshipGoals #sarcasm https://twitter.com/Basia_UK/status/807891018913873920/photo/1
exgag	Be a little fun. #exgag #exgagtale #exgagjoke #sarcasm #relatable #scribbletale #inspire #humour #jokes #writers… https://twitter.com/i/web/status/807948396027904002
missfitizen	We definitely picked the best day to go apartment shopping/hunting. #sarcasm #snowyaf #torontoweather
jae	@rachbarnhart Oops forgot to include the #sarcasm
Ur_lucky_Turtle	Find out the solution of your problem... Or live with your problem.. latter could be a better option indeed most of us would agree.#sarcasm
rossdeane21698	Nah it's grand, talk to me even though I'm wearing my earphones, thank god you got the hint to engage in conversation with me #sarcasm
courtneyyeve	RT @Kev_Christian: Thank god we cut DeSean Jackson, those "gang ties" really make him a useless receiver #sarcasm
cheryl1017abe	RT @DiscardedVirtue: So, did the #DamnRussians hose @BernieSanders campaign too? Oh, the humanity. #sarcasm
adam_soldridge	Nothing makes me happier than going and eating by myself at the cafe #sarcasm
CookeOosaka	Well that makes sense #sarcasm https://twitter.com/johndurant/status/807610748813742080
spanisheyes519	thanks a lot #saints - @Redskins fans. #sarcasm
nearatanden	RT @HillaryGuess: @rabbeni_kim Good. Sure she'll change the world,bring world peace,feed the hungry @nearatanden @neeratanden #sarcasm
Raksha_Kumar	Wonder if the guys who hacked high-profile twitter accounts did so to prove how unsafe digital transactions cud be #DeMonetisation #sarcasm
LaurenStanley64	"Unity up!" "NLS up!" - bulk voting: the sweet sound of democracy at work #nusnatcon #sarcasm
danawanzer	@eagereyes because it's impossible to then share your blog in a series of Twitter rant posts... #sarcasm
Krause99	@JDfromCJAY WHAT??!?! The Happy Hour Playset is FAKE?!?!?! Damn you JD for making me want one. #sarcasm http://globalnews.ca/news/3109230/what-was-fake-this-week-fisher-prices-bar-war-on-christmas-and-more/?sf46207971=1
bullove1234	Chapter13 I'm so happy aunt Alexandra is here. I'm so lucky to have her help raise me #sarcasm #leave https://twitter.com/bullove1234/status/808350106420473860/photo/1
EdenCultures	#sarcasm No really I'm a pacifist and direct verbal assault is just rude. http://fb.me/8ldnq7pKv
GinnyMYee	Sometimes it's true! lol #humor #sarcasm https://www.instagram.com/p/BN7Y0fXBNBT/
LaMonicaBuzz	Walmart up 2% today. A top Dow performer. Guess market isn't worried about Trump bashing $WMT in tweet for big presence in Mexico. #sarcasm
Matterhoof	So @KStateWBB is still unranked but a 3-4 Texas team is? Makes sense. #sarcasm
batman_knowz	With all this #GoldenGlobes talk, lets take a moment to remember Talia's snubbed performance in 2012 #sarcasm… https://twitter.com/i/web/status/808417482851713025
bigdoggfla	@misstorylane is that an hour late cause your baby daddy's truck broke down #sarcasm
EricGeiger	It's so awesome to watch the sunset at 4:20PM #sarcasm #oppositeday
nomeag	Here's to the self entitled who have money in place of morals. #sarcasm-attack
DAllison24	Yup.I can see how the world is definitely shaping up to be "safer" thanks to @realDonaldTrump "tough talk" and unorthodox approach. #sarcasm
chefcam	@poolboy88 @benshapiro @realDonaldTrump twitter I hope. Better for the environment 😏 #sarcasm
JoshuaLBall	@baseballcrank @AP so they're saying men dressing as women is offensive? Surely the transgender community will be upset by this? #sarcasm
toddybo225	@maxkellerman Brady is clearly on a decline #sarcasm
RajrishiSinghal	When logic fails to work, #sarcasm is the only effective weapon in a smart person's armoury. https://twitter.com/kaushikcbasu/status/808533563771592704
pasherrrr	Today a receptionist doubted my nursing capabilities because I couldn't find stickers 👌🏻... makes sense... #sarcasm 🙄🙄🙄
JFuchsKC	well, made it home. Thanks Delta for such a short, direct, and enjoyable trip home the last 27 hours. #sarcasm
SouthernMalachi	RT @F1Ranting: @ASLEFunion Hoping you all have a very Merry Christmas. #sarcasm
Bobbyz_WrLD	@dgvreiman @CNN I say the same thing when unarmed men are shot…#americathegreat #sarcasm
tyrelle123	RT @ShireenQudosi: @jihadwatchRS @MrSonicAdvance well done Germany. #sarcasm
Cezarel	@BBCDanielS @LDNOverground you are right, because every 4years it's real-time feedback & I can discuss with him weekly. #sarcasm #doyouthink
JJatFSU	@TomahawkNation @DavidBVisser this just can't be true! Bud is just making this up for click bait #sarcasm #toldyou #addiction
Witticisms_R_us	Just whip it T-shirt http://tuppu.net/bbefd559 #sarcasm #WitticismsRus #funnygift #Funny_t_shirt https://twitter.com/Witticisms_R_us/status/808658793991118849/photo/1
exgag	It's a girly thing. #exgag #exgagtale #exgagjoke #sarcasm #relatable #scribbletale #inspire #humour #jokes #writers… https://twitter.com/i/web/status/808688385414021120
Witticisms_R_us	I love pussy T-shirt http://tuppu.net/5a3e695a #WitticismsRus #sarcasm #funnygift #Sexual_humor https://twitter.com/Witticisms_R_us/status/808704092688314368/photo/1
ruthvattwood	Only include pages you want indexed in sitemaps? GREAT SCOTT THIS IS REVOUTIONARY http://ow.ly/Dhfi3075nHI via @seroundtable #seo #sarcasm
StuntmanMike9	well that's completely unacceptable. You go find Mr.Kenney while I find some tar and feathers ;) #sarcasm https://twitter.com/UniteAlbertans/status/808727862798913536
cough_naak	Another #Notice - #Countdown of #HAPPYNEWYEAR #Christmas will not be valid from midnight & now only #DANGALCountdownBegins 😈😂😜😅 #sarcasm
fakeezralevant	Now, that's the spirit of unity! #sarcasm #TRUMP #transition #TrumpTransition https://twitter.com/WalshFreedom/status/808729829818400768
papi4481	Lalo Fernández is our backup to an aging, declining Nick Rimando. I'm so confident. #sarcasm
