alllibertynews	RT @tomr373: @DgGage @alllibertynews @TheLibRepublic no way! @Salon would never do that. #sarcasm
edriana_peace98	Okay...now,I'm gonna go read my novel and be nerd again..cuz I can't sleep for Oreo's sake..goodnight♥ #sarcasm #thoughts #oreo #is #life
RowanRicardo	@k_rimNDM That was #sarcasm .
jensan1332	But I get it. It's alright for govt to call in snipers over a land dispute..... #sarcasm @PathLassky
bullmastiffdog	@RawStory @rolandsmartin taking over a fed building with guns is much nicer than looting. #sarcasm
eharris74	The Cowboys definitely look like a team that should keep their coach. Also, I bet Greg Hardy is a GREAT sideline motivator! #sarcasm
zippiskootch	RT @EricCooney: It's peaceful protest. All they've done is take over a federal building with guns in support of arsonists. #sarcasm #Oregon…
where_to_wear	This made us chuckle! #joke #sarcasm http://twitter.com/where_to_wear/status/683729046979670016/photo/1
CRaM_0071	RT @McClusterishere: It's peaceful protest. All they've done is take over a federal building with guns in support of arsonists. #sarcasm #O…
BCox5503	This is good, no? #sarcasm https://twitter.com/gerrydulac/status/683730498041049090
365REBEL365	RT @PsychoFishLureC: Our Redzone offense today 3fgs and a pick. What coach wouldn't want to come here and be a part of this! #sarcasm
M0ntague_R0me0	I'm a bad guy for killing Tybalt. He challenged me and then killed my friend! But, since I'm alive and he isn't, I'm the bad guy! #sarcasm
phillyyank91	@BobGrotz but he can't block #sarcasm
CCC4	Associating @Skittles brand to chickenpox makes no sense. Wait, I just tweeted ur brand - brilliant! #sarcasm #fail http://twitter.com/CCC4/status/683756657986256896/photo/1
malibuquilts	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/WyXiU
jessjert	...yellow snow happens. Now shut the city down already, this is out of control. #Portlandsnow #sarcasm http://twitter.com/jessjert/status/683764962393600001/photo/1
AmberButterVibe	@Joel311Bandit @W3dd1e I BLAME YOU! IT'S ALL YOUR FAULT! 😂 #sarcasm
frassebones	@MikeKing00 Yeah, but he sucks and isn't worth the millions he gets paid. #sarcasm
AGilinsky	@MissLilySummers because the Lib Dems are a viable answer to any question. #sarcasm
MarcosMoncivais	I LOVE THIS CONSERVATIVE PLAY CALLING DOWN 13 IN THE 3RD QUARTER. #sarcasm
KristinasKool	@alli_elder who is Armors I have no clue who this band is. (#sarcasm)
savattackk	My voice sounds lovely after serving all day #sarcasm
ViddyTheOtt	You know what's fun? :D Not having seen or talked to a single human being for a week #sarcasm
jordanl1123	Falcons should go after Dak Prescott since we don't have a QB #sarcasm
lhufham31	Really am going to enjoy this melted, non-chocolatey master blast @sonicdrivein. #sarcasm #wasteofmoney
YanProPolitique	This oregon under attack trending, there is a whole bunch of pearls of wisdom (#sarcasm) or accounts to be blocked depending how you see it
FOPx2Singer	#Crow is terrible. We can't win with him. #Blackhawks #sarcasm #6thShutout This team is starting to click.
m_steven87	@jasonjwilde why the negativity Jason? They have won 10 games. #sarcasm
bmisslich	@PackersNotes I am sure its for a great play. #sarcasm
vNiklas	RT @wcraddock: Never seen an outsource deal that sounds like it started from here #sarcasm http://twitter.com/wcraddock/status/683859183511285760/photo/1
Jeremy_S_D	Back to the office. Yay... No, really. YAY. #sarcasm
mattasimpson	RT @wcraddock: Never seen an outsource deal that sounds like it started from here #sarcasm http://twitter.com/wcraddock/status/683859183511285760/photo/1
FiDRoC	Yay ... great to be back in work #sarcasm
Uncle_Sugar_	RT @vayhi: Just proves we can learn something new every day. #sarcasm #OregonUnderAttack https://twitter.com/koush/status/683715585373372416
LuM1996	Why was that gun wanting a hover board? #ORPUW #RebootLiberty #sarcasm @claydirtman @MikeRumbo66 http://www.foxnews.com/us/2016/01/03/atlanta-girl-shot-during-robbery-for-her-hoverboard.html
OzEquitist	RT @vayhi: Just proves we can learn something new every day. #sarcasm #OregonUnderAttack https://twitter.com/koush/status/683715585373372416
redclaw42	RT @vayhi: Just proves we can learn something new every day. #sarcasm #OregonUnderAttack https://twitter.com/koush/status/683715585373372416
Crimson_Tide5o8	I'm so happy to be back at school😁 #sarcasm
Loving_Caniff_	RT @Chance_Pena: Aren't Monday's just great? #sarcasm
tbacon3019	RT @vayhi: Just proves we can learn something new every day. #sarcasm #OregonUnderAttack https://twitter.com/koush/status/683715585373372416
chelsey_david	@pewdiepie the snail arrived fast! #sarcasm
catabyte	Build a wall. Ban people based on their religion. Thanks, Trump. Really great ideas worth pursuing again.#sarcasm http://adage.com/article/campaign-trail/trump-s-tv-commercial-trumpy/301971/?utm_campaign=SocialFlow&utm_source=Facebook&utm_medium=Social
Smarsos	@JamesRosenFNC Take a break, put your feet up. Nothing much has been going on in the world of late. #sarcasm
bsakes	Shocker!! Manziel shows up in Berea but doesn't want to talk to media...no way. #sarcasm do us all a favor JFF & get the f*¢k out
dhb7	#Hillary may actually get my vote… http://www.breitbart.com/big-government/2016/01/04/hillary-clinton-may-already-visited-aliens/ #sarcasm
Cyber_codr	Here at consulting firm X we are hipsters our app only works in Firefox or chrome #sarcasm
brianmilonas	@JoePisapia17 but Babe Ruth didn't get 100% of the vote...#sarcasm
exavierpope	Maybe that person does, but does feel the need to judge. #sarcasm https://twitter.com/KeenaMcGee/status/684149394044633089
Jamie_Wesley	They all look alike, right? #sarcasm http://twitter.com/EW/status/684135991255367680
TheTank_91	@pep30 How can that be? He's the worst ever! #sarcasm
PopAsiaKittyEm	I love how people wander on and off trains like "What strange world is this, with such wonders in it!" #sarcasm
JohnsellersDBEB	@biancab518 @SydneyAtheist Yeah I can now understand exactly why people pray #sarcasm
_john_henry	RT @_JamesSteward_: Protective qualities of green paint. #sarcasm @TMRQld @brisbanecityqld @space4cyclingbn @QPSmedia @CyclingRSmith https:…
RaeCattach	.@MsRachyDoodle Oh but obviously a man's right to "make a joke" trumps a woman being able to do her job without sexual harassment #sarcasm
Bill_Leemic	RT @antkelley: It's fucking hot outside! #sarcasm #sarcasmictweet #comedy #fun #funny #sarcasticbehavior
CHSguy08	@jessenewell @mctait how come Bragg and Diallo didn't play much in the second half and OT? #sarcasm #kubball
paris_2005	RT @DeborahGlad1: @paris_2005 probably safer than drenching ur hands in Purell n lightin a cigarette! Ha..#amoistowlette #sarcasm #sortof ;)
joeywvlker	RT @karlyb94: Goodnight everyone. This has been the best day ever. #sarcasm
HitThat94	What a nice cold day 😬#sarcasm #morning #Hit
nikkihack	RT @sarahplatt13: Chris Gayle should have been banned how dare he give someone a compliment. #sarcasm #BBL05
mallymaxwell	@hershybru another wicket this games ours now 😜#sarcasm lol
neehasharma123	Before Marriage Vs After http://thequotetoday.me/0721570fde873 #sarcasm
JustBieberToday	RT @TheQuoteToday: Before Marriage Vs After http://thequotetoday.me/0721570fde873 #sarcasm
IBleedTitanBlue	@PaulKuharskyNFL I'm so unqualified to know. Maybe Oprah? #sarcasm
RynoWhite	@jillshroyer @cnnbrk as a fellow Cristian I'm sure you'll miss him when he's gone. You are so kind and respectful god bless you #sarcasm
pedrojoe14	I'm glad criminals won't be able to buy guns without a background check now. Good job, Mr. President... #sarcasm #StopGunViolence
drrajambar	@owolade14 I didn't know Sarah Silverman supports isis. #sarcasm
MoffittJill	RT @JohnRMoffitt: @TPERGO I'm going with that you left off #sarcasm but I will share this back at you. http://twitter.com/JohnRMoffitt/status/684443480081301504/photo/1
BrianDa45124592	@RealJamesWoods @POTUS @NRA Buy I'm sure he means well #eyeroll #sarcasm http://twitter.com/BrianDa45124592/status/684449321220177920/photo/1
ShahzadFan	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
LeenaAlvi	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
Absara1162	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
brown_retha	RT @TheQuoteToday: Before Marriage Vs After http://thequotetoday.me/0721570fde873 #sarcasm
Hinakhanalive	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
ballyefc	@Paul_Irons1980 @SiNsno @Stevied23 @nsno oh well fuck me, I'm so gutted, oh my God I may have to go and weep oh and just in case #sarcasm
JournalistsLike	RT @CourierMark: Make up your own Grammar rules. If something's Important to you, Capitalize it. That way, we know it's Important. #sarcasm…
Noakseym	@stevebrookstein think you need to add #sarcasm after every tweet not everyone gets it lol
methbeerjoesang	Nothing makes you feel more human than feeling like the outcast in your family. #complete #utter #sarcasm
LFCMKE	So glad we can pull out wins in the League Cup but struggle to play competitively in league matches. #priorities #sarcasm #LFC
randomjules	@JebBush @POTUS "who are packing"? That's just the sort of tough ass talk I want from my POTUS. #sarcasm #tryingtoohard
tmasdeters	@dananobispacem have toyeven seen the green goblins costume?!?! #sarcasm #youresoright
waseem5511	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
hania_junaid	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
DnDDomain	RT @professorNerdMD: Whooooo... Migraines interrupting DM prep. Looks to be a good Tuesday night. #sarcasm #dnd #DMproblems
AbbasMobeen	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
CummingsOkey	RT @supergoodplus: @Jenevalynne @Juliet777777 A racketeering Clinton?! Who has ever heard of such a thing?! #sarcasm
MomoMatiz	RT @AbhiUpmanyu: Creating history by performing at @Stage42Fest this year, but sad coz Chetan is not impressed. #sarcasm #upnext https://t.…
bernadettekelly	HURRRRAAAAAY! The jackhammers are digging up Cross Street. Again. #sarcasm #manchestercitycentre
brianmrogan	@FoxNews wait a bend to the libral elete who claim "lead poisoning" is bad I eat lead paint chips for breakfast #sarcasm
IqraZahir3784	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
FireDragonTroll	Pot legalization in Canada to run afoul of global treaties as if illegal actions have never run afoul of treaties before #cdnpoli #sarcasm
G09Mallory	This was too funny not to post #sarcasm - hope you have a Happy #winewednesday #funny #winelovers #wineoclock #wine http://twitter.com/G09Mallory/status/684751563454205952/photo/1
IzharSalah	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
dwest9cubs	@CU_Blonde that's not many people.... #sarcasm 😳😂😂
DanielChojnacki	Mickey Mantle was ruining the game in the 50's #sarcasm
Tofushinki_jyj	RT @Back_to_Five: "But kombats are SO ORIGINAL, no one will mistake it for another fandom!" Yeah, it looks soooo different. #sarcasm https:…
harperlarsen	RT @eatsleeprugby: Disappointing to see that Malakai Fekitoa has taken his eye off the fitness regime. Let himself go a bit! #sarcasm https…
lanceburson	But I thought there was a "gay gestapo" to handle this? #sarcasm https://twitter.com/allanbrauer/status/684800855577473024
ashleebrazil	RT @Katesaywut: bc nac guys are so great.... #sarcasm
AndWeDance	That frustrating moment when people take your comment the wrong way... #everyoneistuffbehindthescreen #thanksinternet #sarcasm
alambster	We are sending the President a clear message- guns good, healthcare bad. #PaulRyan #GOP #ACA #Obamacare #sarcasm
ContestKathy	@comcast You mail me a bill every month but I have to go into a service center for a new remote? Gee, thanks for the convenience! #sarcasm
fo07ang	Guys, more background checks means we can't have guns! Thanks @POTUS ! #sarcasm #orIsIt
iamjgreens	So you're a terrorist sympathizer? Way to be pal... Way to be... #sarcasm https://twitter.com/gamecockrev/status/684840552089665536
StanleySbornak	No clear sign that we're ever going to really start. (yay) #sarcasm #churchchoir
Martin_A_Wat	70s media said Auslan was only lang can learn in 6 weeks! Wow! 6 weeks! Better pick that up! #sarcasm #AudismInOz https://twitter.com/jahochcam/status/684905549247324160
LeanderCampbell	@amyemathe Finally! Now I can fulfill my life long dream to use every emoji in a Tweet! #sarcasm #Twitter10k 😉😀👍😊...
mariahveronika	I just love when my luggage gets inspected for no reason 10 minutes before a flight and then never makes it onto the plane #sarcasm
Jaysonparker	All, I'd like to issue a statement stating that I'm thinking about my future. #sarcasm #CalvinJohnson #Megatron
BxgirlLouise	The bread scored woohoo #sarcasm
LantzTim	In defense of #LovieSmith he did triple our win total from last year #backhandedcompliment #sarcasm
KaziWaziha	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
MidosiArash	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
AnVai	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
LostByHurricane	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
thekennydisu	@Omojuwa who is this man? I don't even know him. I heard he works as a cab man in Seattle. #sarcasm
BoostMyFame	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
xxdu	RT @StarliteStalker: Sarcasm in the morning 👌 #surveillance #sarcasm #funny #smile #sarkasmus #totale #überwachung #zkm #karlsruhe by an… h…
Alex9654200	@uranusispink @KTHopkins stop this racism. respect their way of life. At least they do not consumate marriage with 9yo girls. yet. #sarcasm
pippajaygreen	I love being seven days into the New Year and already £72.29 in debt as an author. #sarcasm
sadafsardar6	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
ryanaffolter	Making healthcare harder to access seems like a great way to win an election. #sarcasm #IStandWithPlannedParenthood https://twitter.com/i/moments/684889820871528448
nufsurh	RT @LibraThatsMe: #Libras often resort to #sarcasm when attempting to not be rude while delivering #thetruth. #Librthatsme
cannonjw	But why is this news? #sarcasm #sportsbiz https://twitter.com/tmz_sports/status/685019177787117569
ItsJustJill	RT @conservative72: Why was #TedCruz in Canada being born? Was he being a draft dodger?? #sarcasm #rhetoric
mkink22	@LeBatardShow has me rolling right now, people just don't get it😂😂 #hatehard #sarcasm #ididntvoteforgriffeyeither
SmoshyDutch	Im loving to hear that she saying that SG don't care about me, that they are assholes and that they don't accept me how i am #sarcasm
Zelig880	A modern day Romeo and Juliet #funny #sarcasm #playstation #xbox http://buff.ly/1Z7tJmu http://twitter.com/Zelig880/status/685185653080993792/photo/1
SteffJng96	@realDonaldTrump Paris, Rom, London, it doesn't matter, the important thing: that's Germany :D :D #getsmart #sarcasm
verogeller	Oh great! another Firefly reunion in Castle! ¬ ¬ #sarcasm
sheaoliver	My favorite part of election season is hiding all the crap showing up in #facebook #sarcasm http://on.fb.me/1LA0qEg
LegalySarcastic	"You hurt your back... WHY DID YOU GO TO A DENTIST?!" #tsl #lawyer #sarcasm #annoyed #pointless #personinjury #law
SpartyParty23	Didn't realize Calvin said he was leaving detroit, must of missed it I guess #sarcasm
portiaburk31	@vegasdude83 no tom is the golden pretty boy #sarcasm couldn't agree with you more he's nothing but a bitch
Superfangirl111	How cute is it when he tries to start drama tho? Like seriously, what an adorable effort #bravo #sarcasm https://twitter.com/JaydenSeyfarth/status/679990459796557824
alainedypua	Exam schedule, you are awesome. #sarcasm
Back_to_Five	I wonder if YG is gonna send iKOPY boys to the army to realise solo albums just to copy our boys lol #sarcasm
radiojs	@_DOC_SMITH_ you must of missed the #sarcasm tweet I sent@DLoesch since did't fit on 1st tweet. @NRA @CNN #TownHall = @POTUS #Lecture #sad
yaaaitslaine	i'm done being in a relationship w my bed, bcs we're now engaged #sarcasm
mairaaly10	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
shy_one85	Good morning. Got coffee in hand and breakfast out of the way. Sausage and toast. Always yummy. Yay morning! #sarcasm #gimmecoffee #zzzzzz
thebigmil	@FoxNews Middle Easterns charged with terrorism?! I don't believe it! #sarcasm
tonguetwied	Don't worry guys my 3rd grader's teacher has them working on solving the national deficit & tons of stuff WAY above their level #sarcasm
jeffaugust	Hey look! It's the @athletics "not trying" again... #sarcasm http://twitter.com/jeffaugust/status/685503735418638336/photo/1
dallsmash	Please please keep me in this redundant meeting forever. #sarcasm #itslunchtime #letmeeat
DianthusSky	Not having audio in gaming videos except the bit you catch from the mic is the best. #sarcasm
GHKeMoSamFF	RT @Juter0208: So do ya'll feel sorry for Liz yet? Hasn't she "paid" enough? 😩 #GH #sarcasm
kourani22	RT @lsarsour: God forbid a Muslim is mentally ill and suffers from schizophrenia. No way that could be possible. #sarcasm #philadelphiashoo…
Mwforhr	And another lovely human being. #sarcasm https://twitter.com/momfoundme/status/685555247469740040
lewismacandrew	However Quins game still on #buzzing #sarcasm https://twitter.com/bordersrugby/status/685589288831053826
N8wood4d	What a nice evening in Mattawan tonight. #wmiwx #miwx #sarcasm http://twitter.com/N8wood4d/status/685594638464499712/photo/1
joefryoux	@RedRightRepub @NaughtyBeyotch @conservativebyt guess we need to start giving firearms away also. That way they won't need a FFL. #sarcasm
SWF	Like I need their help. #roadwarrior #rif #bookstore #sarcasm #coralsprings @ Barnes & Noble https://www.instagram.com/p/BATEkeNRX4D/
TeuchterMeg0906	This whole not being able to sleep malarkey is great fun 😀😂😭 #sarcasm #tired #wide-awake #nothavingfun #runningoutofbooks #littleannoyed lol
SharlaManglass	Glad I'm in a room next to a screaming baby when I have to get up at 2:30 am. #sarcasm
RoiBoi071	@Flex_Valentino @WWESuperCard omg flex you didn't pro your shamoose's probably your meant to have gold stars #sarcasm
JesusFromMars	@PaiviTen #OMG it's happening, #Russia has developed a weather weapon... we all gona die... #sarcasm :D
MsDulceMaria	RT @lsarsour: God forbid a Muslim is mentally ill and suffers from schizophrenia. No way that could be possible. #sarcasm #philadelphiashoo…
PGar58	@lstimnotthatguy Hey hey hey! I once played "Rockstar" on loop on the 122 mile ride to my office. And I'd do it again, see! #sarcasm
cashvillian615	@steveucnlive i guess the #ESPN in his name puts him above the rest of us #sarcasm
JeanetteJing	@ktnicoll87 @Brains4Bern And no carcinogenic product has ever been knowingly marketed to Americans for decades. #sarcasm #tobacco
AliCali8753	I love coming home from work and realizing that I start work again in 9 hours <3 <3 <3 #sarcasm #nevermindiquit
kalupowsome	What a nice day to take a stroll on the train tracks. #sarcasm http://twitter.com/kalupowsome/status/685778274522251265/photo/1
Wetaskijen	RT @aka_Pooch: @gmbutts @Wetaskijen @iyad_elbaghdadi I can't wait to see all the msm reporting on this, it's going to be great. #sarcasm
jedikermit	Data obsession w/o connection to you know, actual human students? I'VE NEVER SEEN THAT #satchat #sarcasm #itsearly https://twitter.com/Jordan_XTREME/status/685804854493736962
ACarpenteri	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
tailorkjy	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
UsamaUk13473	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
kenhhai247	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
GKGPascasio	One of the most realistic fights ever. #sarcasm #celebritybluff
fputritidur	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
Imrich5463Dean	RT @aaronadenne: We NEED STRICT car control! Drunk drivers are not to blame, it's the car! Just like guns are to blame. #sarcasm #ThinkFor…
liorcohenxxx	RT @mikequasar: I shoot entire movies in one day every day. I'm amazing. #sarcasm #backproblems #imblind #shootmeinthehead #pornisfree
Linux_EXE	Well that was fun: Windows 10 update disconnected an external monitor, had to reboot + update the Dell dock software. Thanks guys. #sarcasm
RwWire	rwanda_story: Maybe that is why #Kagame 2050 vision is needed! #sarcasm RwandaBriefing gatjmv #PaulKagame cnnbrk LeVif #Rwanda #Kigali #Kag…
LBCChromatics	Math is by its very nature, cultural appropriation #Nonsense #sarcasm #itstruetho
storacle	@DirtyOldBroad I'm not that excited because Rafa can't beat Novak. #sarcasm
kjjaeger	#TrendMicro sells all kind of #certificates (except DV certs) here http://www.trendmicro.com/us/enterprise/cloud-solutions/deep-security/ssl-certificates no conflict here http://blog.trendmicro.com/trendlabs-security-intelligence/lets-encrypt-now-being-abused-by-malvertisers #sarcasm
howdyouplay	What a brilliant #Manutd performance again, such a pleasure to watch. #sarcasm #mufc
Xristian806	Reward and Punishment - what a great system. Lab rats use the same thing. 🏛⚖✒️♠️✖️ #flawed #sarcasm #anthropomorphism
hullomichelle	I just love talking to our parents about how I don't want to have kids. #sarcasm
icerinkmomma	I'm going to assume #sarcasm 😉 https://twitter.com/brianmcarey/status/685929749185695744
GJBuckingham	waheyy they caught one! #sarcasm lol
gurnickryan	Airports have the "nicest" carpet!!! #sarcasm
Aheffy	Good thing the Jazz are suppperrr deep with core and developmental pieces to handle this injury onslaught. #sarcasm
JR_Gillette	@NolanPaddyyak Don't you know @WilkowMajority all businesses exist to not make a profit? They exist to employee workers. #sarcasm
realsage666	fkn love it when I try to RT and it says "tweet can not be found" 😒 #sarcasm
Arteltoe	Uh no that's what #cucketarians say about him #sarcasm https://twitter.com/cb618444/status/686028783644741632
keithshrode	First score by the home team in the #NFL playoffs comes in the 4th quarter of the second game. #entertaining #sarcasm
amalie403	@ZSayle @JoshuaBurrage3 @Nick_Masson_ so helpful, josh! 😂😂😂 #sarcasm
Mayankbhanu1	Thank you @makemytrip for the refund to the flight I missed. I'm definitely now in for #PhuketInJanuary #sarcasm http://twitter.com/Mayankbhanu1/status/686074568759357441/photo/1
Gustoon	#sarcasm I love it that we are now trying to win a cup #nufc you can really see the difference.
tonyasrobbie	@jaynecurryIWOM Erm no! #sarcasm
Reever_F	#TheMaineReasonWhy Uhmm it's "The MAIN reason why" check your grammar... 😂 #sarcasm
uketukeman	RT @RadChick4Cast: "That brown shit raining down on #PorterRanch folks is just a nuisance. It's all in your silly minds." #sarcasm https://…
RealSlim_Waddy	I would never want to win a lottery,because that means I'd have to quit my job.😃#Powerball #sarcasm
NascargirlDeb	What a dumbass move by #SeanPenn -didn't realize he was such a famous reporter. #sarcasm #whatwashethinking #ElChapo maybe they lit up
avgchick	@sexySlickDawn no no he was a Christian wannabe... We all know he really was an atheist.. Hahaha! #igotjokes #sarcasm
spudnick2035	Thanks to my cousin for pulling this one out! #sarcasm https://www.instagram.com/p/BAXH5z8gvtZ/
kperreault70	@Frunnnkis @joelgriffith88 @Bengals let's not forget how classy Steelers fans are #sarcasm
